最小支持度 0.0010
最小支持個數 0
[C01] 支持個數:16 支持度:0.0755
[C03] 支持個數:22 支持度:0.1038
[C05] 支持個數:13 支持度:0.0613
[C07] 支持個數:20 支持度:0.0943
[C11] 支持個數:2 支持度:0.0094
[C12] 支持個數:7 支持度:0.0330
[C31] 支持個數:43 支持度:0.2028
[C32] 支持個數:31 支持度:0.1462
[C33] 支持個數:7 支持度:0.0330
[C34] 支持個數:2 支持度:0.0094
[C35] 支持個數:7 支持度:0.0330
[C37] 支持個數:17 支持度:0.0802
[C38] 支持個數:5 支持度:0.0236
[C39] 支持個數:3 支持度:0.0142
[C40] 支持個數:2 支持度:0.0094
[C43] 支持個數:9 支持度:0.0425
[C44] 支持個數:1 支持度:0.0047
[C45] 支持個數:3 支持度:0.0142
[C46] 支持個數:2 支持度:0.0094
[S2] 支持個數:212 支持度:1.0000
[A09] 支持個數:1 支持度:0.0047
[A10] 支持個數:5 支持度:0.0236
[A11] 支持個數:24 支持度:0.1132
[A12] 支持個數:74 支持度:0.3491
[A13] 支持個數:67 支持度:0.3160
[A14] 支持個數:37 支持度:0.1745
[A15] 支持個數:3 支持度:0.0142
[A16] 支持個數:1 支持度:0.0047
[C01,S2] 支持個數:16 支持度:0.0755
[C03,S2] 支持個數:22 支持度:0.1038
[C05,S2] 支持個數:13 支持度:0.0613
[C07,S2] 支持個數:20 支持度:0.0943
[C11,S2] 支持個數:2 支持度:0.0094
[C12,S2] 支持個數:7 支持度:0.0330
[C31,S2] 支持個數:43 支持度:0.2028
[C32,S2] 支持個數:31 支持度:0.1462
[C33,S2] 支持個數:7 支持度:0.0330
[C34,S2] 支持個數:2 支持度:0.0094
[C35,S2] 支持個數:7 支持度:0.0330
[C37,S2] 支持個數:17 支持度:0.0802
[C38,S2] 支持個數:5 支持度:0.0236
[C39,S2] 支持個數:3 支持度:0.0142
[C40,S2] 支持個數:2 支持度:0.0094
[C43,S2] 支持個數:9 支持度:0.0425
[C44,S2] 支持個數:1 支持度:0.0047
[C45,S2] 支持個數:3 支持度:0.0142
[C46,S2] 支持個數:2 支持度:0.0094
[C01,A09] 支持個數:0 支持度:0.0000
[C01,A10] 支持個數:0 支持度:0.0000
[C01,A11] 支持個數:2 支持度:0.0094
[C01,A12] 支持個數:6 支持度:0.0283
[C01,A13] 支持個數:7 支持度:0.0330
[C01,A14] 支持個數:1 支持度:0.0047
[C01,A15] 支持個數:0 支持度:0.0000
[C01,A16] 支持個數:0 支持度:0.0000
[C03,A09] 支持個數:0 支持度:0.0000
[C03,A10] 支持個數:0 支持度:0.0000
[C03,A11] 支持個數:2 支持度:0.0094
[C03,A12] 支持個數:8 支持度:0.0377
[C03,A13] 支持個數:4 支持度:0.0189
[C03,A14] 支持個數:8 支持度:0.0377
[C03,A15] 支持個數:0 支持度:0.0000
[C03,A16] 支持個數:0 支持度:0.0000
[C05,A09] 支持個數:0 支持度:0.0000
[C05,A10] 支持個數:0 支持度:0.0000
[C05,A11] 支持個數:2 支持度:0.0094
[C05,A12] 支持個數:4 支持度:0.0189
[C05,A13] 支持個數:3 支持度:0.0142
[C05,A14] 支持個數:4 支持度:0.0189
[C05,A15] 支持個數:0 支持度:0.0000
[C05,A16] 支持個數:0 支持度:0.0000
