最小支持度 0.0010
最小支持個數 50
[C01] 支持個數:5498 支持度:0.1095
[C03] 支持個數:5676 支持度:0.1131
[C05] 支持個數:4332 支持度:0.0863
[C07] 支持個數:6103 支持度:0.1216
[C11] 支持個數:811 支持度:0.0162
[C12] 支持個數:699 支持度:0.0139
[C22] 支持個數:708 支持度:0.0141
[C31] 支持個數:6571 支持度:0.1309
[C32] 支持個數:3125 支持度:0.0623
[C33] 支持個數:964 支持度:0.0192
[C34] 支持個數:1395 支持度:0.0278
[C35] 支持個數:1494 支持度:0.0298
[C37] 支持個數:3271 支持度:0.0652
[C38] 支持個數:1495 支持度:0.0298
[C39] 支持個數:1851 支持度:0.0369
[C40] 支持個數:1794 支持度:0.0357
[C43] 支持個數:2386 支持度:0.0475
[C44] 支持個數:179 支持度:0.0036
[C45] 支持個數:997 支持度:0.0199
[C46] 支持個數:662 支持度:0.0132
[C90] 支持個數:162 支持度:0.0032
[S1] 支持個數:25382 支持度:0.5057
[S2] 支持個數:24808 支持度:0.4943
[A12] 支持個數:109 支持度:0.0022
[A13] 支持個數:241 支持度:0.0048
[A14] 支持個數:398 支持度:0.0079
[A15] 支持個數:655 支持度:0.0131
[A16] 支持個數:1286 支持度:0.0256
[A17] 支持個數:2079 支持度:0.0414
[A18] 支持個數:3227 支持度:0.0643
[A19] 支持個數:3968 支持度:0.0791
[A20] 支持個數:4988 支持度:0.0994
[A21] 支持個數:7258 支持度:0.1446
[A22] 支持個數:9180 支持度:0.1829
[A23] 支持個數:9241 支持度:0.1841
[A24] 支持個數:5503 支持度:0.1096
[A25] 支持個數:1663 支持度:0.0331
[A26] 支持個數:272 支持度:0.0054
[C01,S1] 支持個數:2762 支持度:0.0550
[C01,S2] 支持個數:2736 支持度:0.0545
[C03,S1] 支持個數:2850 支持度:0.0568
[C03,S2] 支持個數:2826 支持度:0.0563
[C05,S1] 支持個數:2235 支持度:0.0445
[C05,S2] 支持個數:2097 支持度:0.0418
[C07,S1] 支持個數:3137 支持度:0.0625
[C07,S2] 支持個數:2966 支持度:0.0591
[C11,S1] 支持個數:407 支持度:0.0081
[C11,S2] 支持個數:404 支持度:0.0080
[C12,S1] 支持個數:380 支持度:0.0076
[C12,S2] 支持個數:319 支持度:0.0064
[C22,S1] 支持個數:344 支持度:0.0069
[C22,S2] 支持個數:364 支持度:0.0073
[C31,S1] 支持個數:3317 支持度:0.0661
[C31,S2] 支持個數:3254 支持度:0.0648
[C32,S1] 支持個數:1708 支持度:0.0340
[C32,S2] 支持個數:1417 支持度:0.0282
[C33,S1] 支持個數:493 支持度:0.0098
[C33,S2] 支持個數:471 支持度:0.0094
[C34,S1] 支持個數:663 支持度:0.0132
[C34,S2] 支持個數:732 支持度:0.0146
[C35,S1] 支持個數:746 支持度:0.0149
[C35,S2] 支持個數:748 支持度:0.0149
[C37,S1] 支持個數:1601 支持度:0.0319
[C37,S2] 支持個數:1670 支持度:0.0333
[C38,S1] 支持個數:692 支持度:0.0138
[C38,S2] 支持個數:803 支持度:0.0160
[C39,S1] 支持個數:895 支持度:0.0178
[C39,S2] 支持個數:956 支持度:0.0190
[C40,S1] 支持個數:879 支持度:0.0175
[C40,S2] 支持個數:915 支持度:0.0182
[C43,S1] 支持個數:1206 支持度:0.0240
[C43,S2] 支持個數:1180 支持度:0.0235
[C44,S1] 支持個數:93 支持度:0.0019
[C44,S2] 支持個數:86 支持度:0.0017
[C45,S1] 支持個數:512 支持度:0.0102
[C45,S2] 支持個數:485 支持度:0.0097
[C46,S1] 支持個數:357 支持度:0.0071
[C46,S2] 支持個數:305 支持度:0.0061
[C90,S1] 支持個數:91 支持度:0.0018
[C90,S2] 支持個數:71 支持度:0.0014
[C01,A16] 支持個數:109 支持度:0.0022
[C01,A17] 支持個數:165 支持度:0.0033
[C01,A18] 支持個數:275 支持度:0.0055
[C01,A19] 支持個數:375 支持度:0.0075
[C01,A20] 支持個數:443 支持度:0.0088
[C01,A21] 支持個數:730 支持度:0.0145
[C01,A22] 支持個數:946 支持度:0.0188
[C01,A23] 支持個數:1190 支持度:0.0237
[C01,A24] 支持個數:769 支持度:0.0153
[C01,A25] 支持個數:336 支持度:0.0067
[C01,A26] 支持個數:60 支持度:0.0012
[C03,A15] 支持個數:77 支持度:0.0015
[C03,A16] 支持個數:133 支持度:0.0026
[C03,A17] 支持個數:213 支持度:0.0042
[C03,A18] 支持個數:364 支持度:0.0073
[C03,A19] 支持個數:445 支持度:0.0089
[C03,A20] 支持個數:582 支持度:0.0116
[C03,A21] 支持個數:834 支持度:0.0166
[C03,A22] 支持個數:1062 支持度:0.0212
[C03,A23] 支持個數:1051 支持度:0.0209
[C03,A24] 支持個數:612 支持度:0.0122
[C03,A25] 支持個數:181 支持度:0.0036
[C05,A15] 支持個數:50 支持度:0.0010
[C05,A16] 支持個數:140 支持度:0.0028
[C05,A17] 支持個數:213 支持度:0.0042
[C05,A18] 支持個數:350 支持度:0.0070
[C05,A19] 支持個數:375 支持度:0.0075
[C05,A20] 支持個數:476 支持度:0.0095
[C05,A21] 支持個數:624 支持度:0.0124
[C05,A22] 支持個數:754 支持度:0.0150
[C05,A23] 支持個數:750 支持度:0.0149
[C05,A24] 支持個數:402 支持度:0.0080
[C05,A25] 支持個數:102 支持度:0.0020
[C07,A14] 支持個數:55 支持度:0.0011
[C07,A15] 支持個數:87 支持度:0.0017
[C07,A16] 支持個數:162 支持度:0.0032
[C07,A17] 支持個數:278 支持度:0.0055
[C07,A18] 支持個數:474 支持度:0.0094
[C07,A19] 支持個數:555 支持度:0.0111
[C07,A20] 支持個數:696 支持度:0.0139
[C07,A21] 支持個數:944 支持度:0.0188
[C07,A22] 支持個數:1045 支持度:0.0208
[C07,A23] 支持個數:1038 支持度:0.0207
[C07,A24] 支持個數:549 支持度:0.0109
[C07,A25] 支持個數:138 支持度:0.0027
[C11,A18] 支持個數:56 支持度:0.0011
[C11,A19] 支持個數:69 支持度:0.0014
[C11,A20] 支持個數:69 支持度:0.0014
[C11,A21] 支持個數:135 支持度:0.0027
[C11,A22] 支持個數:161 支持度:0.0032
[C11,A23] 支持個數:151 支持度:0.0030
[C11,A24] 支持個數:79 支持度:0.0016
[C12,A19] 支持個數:52 支持度:0.0010
[C12,A20] 支持個數:67 支持度:0.0013
[C12,A21] 支持個數:85 支持度:0.0017
[C12,A22] 支持個數:112 支持度:0.0022
[C12,A23] 支持個數:159 支持度:0.0032
[C12,A24] 支持個數:111 支持度:0.0022
[C22,A19] 支持個數:57 支持度:0.0011
[C22,A20] 支持個數:60 支持度:0.0012
[C22,A21] 支持個數:106 支持度:0.0021
[C22,A22] 支持個數:130 支持度:0.0026
[C22,A23] 支持個數:134 支持度:0.0027
[C22,A24] 支持個數:82 支持度:0.0016
[C31,A14] 支持個數:64 支持度:0.0013
[C31,A15] 支持個數:105 支持度:0.0021
[C31,A16] 支持個數:173 支持度:0.0034
[C31,A17] 支持個數:335 支持度:0.0067
[C31,A18] 支持個數:461 支持度:0.0092
[C31,A19] 支持個數:560 支持度:0.0112
[C31,A20] 支持個數:716 支持度:0.0143
[C31,A21] 支持個數:942 支持度:0.0188
[C31,A22] 支持個數:1093 支持度:0.0218
