最小支持度 0.0010
最小支持個數 45
[C01] 支持個數:2627 支持度:0.0579
[C03] 支持個數:4548 支持度:0.1003
[C05] 支持個數:3696 支持度:0.0815
[C07] 支持個數:5722 支持度:0.1262
[C11] 支持個數:726 支持度:0.0160
[C12] 支持個數:569 支持度:0.0125
[C22] 支持個數:608 支持度:0.0134
[C31] 支持個數:5326 支持度:0.1175
[C32] 支持個數:3432 支持度:0.0757
[C33] 支持個數:996 支持度:0.0220
[C34] 支持個數:947 支持度:0.0209
[C35] 支持個數:1559 支持度:0.0344
[C37] 支持個數:2635 支持度:0.0581
[C38] 支持個數:1730 支持度:0.0382
[C39] 支持個數:2322 支持度:0.0512
[C40] 支持個數:1804 支持度:0.0398
[C43] 支持個數:3042 支持度:0.0671
[C44] 支持個數:193 支持度:0.0043
[C45] 支持個數:1473 支持度:0.0325
[C46] 支持個數:1230 支持度:0.0271
[C90] 支持個數:144 支持度:0.0032
[S1] 支持個數:32459 支持度:0.7159
[S2] 支持個數:12884 支持度:0.2841
[A11] 支持個數:126 支持度:0.0028
[A12] 支持個數:738 支持度:0.0163
[A13] 支持個數:2077 支持度:0.0458
[A14] 支持個數:3582 支持度:0.0790
[A15] 支持個數:4934 支持度:0.1088
[A16] 支持個數:5645 支持度:0.1245
[A17] 支持個數:5416 支持度:0.1194
[A18] 支持個數:4449 支持度:0.0981
[A19] 支持個數:3749 支持度:0.0827
[A20] 支持個數:3485 支持度:0.0769
[A21] 支持個數:3797 支持度:0.0837
[A22] 支持個數:3643 支持度:0.0803
[A23] 支持個數:2480 支持度:0.0547
[A24] 支持個數:974 支持度:0.0215
[A25] 支持個數:199 支持度:0.0044
[C01,S1] 支持個數:1710 支持度:0.0377
[C01,S2] 支持個數:917 支持度:0.0202
[C03,S1] 支持個數:3198 支持度:0.0705
[C03,S2] 支持個數:1350 支持度:0.0298
[C05,S1] 支持個數:2493 支持度:0.0550
[C05,S2] 支持個數:1203 支持度:0.0265
[C07,S1] 支持個數:3985 支持度:0.0879
[C07,S2] 支持個數:1737 支持度:0.0383
[C11,S1] 支持個數:492 支持度:0.0109
[C11,S2] 支持個數:234 支持度:0.0052
[C12,S1] 支持個數:383 支持度:0.0084
[C12,S2] 支持個數:186 支持度:0.0041
[C22,S1] 支持個數:373 支持度:0.0082
[C22,S2] 支持個數:235 支持度:0.0052
[C31,S1] 支持個數:3816 支持度:0.0842
[C31,S2] 支持個數:1510 支持度:0.0333
[C32,S1] 支持個數:2615 支持度:0.0577
[C32,S2] 支持個數:817 支持度:0.0180
[C33,S1] 支持個數:727 支持度:0.0160
[C33,S2] 支持個數:269 支持度:0.0059
[C34,S1] 支持個數:737 支持度:0.0163
[C34,S2] 支持個數:210 支持度:0.0046
[C35,S1] 支持個數:1122 支持度:0.0247
[C35,S2] 支持個數:437 支持度:0.0096
[C37,S1] 支持個數:1944 支持度:0.0429
[C37,S2] 支持個數:691 支持度:0.0152
[C38,S1] 支持個數:1304 支持度:0.0288
[C38,S2] 支持個數:426 支持度:0.0094
[C39,S1] 支持個數:1692 支持度:0.0373
[C39,S2] 支持個數:630 支持度:0.0139
[C40,S1] 支持個數:1264 支持度:0.0279
[C40,S2] 支持個數:540 支持度:0.0119
[C43,S1] 支持個數:2366 支持度:0.0522
[C43,S2] 支持個數:676 支持度:0.0149
[C44,S1] 支持個數:150 支持度:0.0033
[C45,S1] 支持個數:1036 支持度:0.0228
[C45,S2] 支持個數:437 支持度:0.0096
[C46,S1] 支持個數:933 支持度:0.0206
[C46,S2] 支持個數:297 支持度:0.0066
[C90,S1] 支持個數:107 支持度:0.0024
[C01,A13] 支持個數:45 支持度:0.0010
[C01,A14] 支持個數:109 支持度:0.0024
[C01,A15] 支持個數:168 支持度:0.0037
[C01,A16] 支持個數:271 支持度:0.0060
[C01,A17] 支持個數:298 支持度:0.0066
[C01,A18] 支持個數:267 支持度:0.0059
[C01,A19] 支持個數:232 支持度:0.0051
[C01,A20] 支持個數:222 支持度:0.0049
[C01,A21] 支持個數:288 支持度:0.0064
[C01,A22] 支持個數:322 支持度:0.0071
[C01,A23] 支持個數:226 支持度:0.0050
[C01,A24] 支持個數:126 支持度:0.0028
[C03,A12] 支持個數:66 支持度:0.0015
[C03,A13] 支持個數:229 支持度:0.0051
[C03,A14] 支持個數:335 支持度:0.0074
[C03,A15] 支持個數:488 支持度:0.0108
[C03,A16] 支持個數:518 支持度:0.0114
[C03,A17] 支持個數:545 支持度:0.0120
[C03,A18] 支持個數:485 支持度:0.0107
[C03,A19] 支持個數:411 支持度:0.0091
[C03,A20] 支持個數:364 支持度:0.0080
[C03,A21] 支持個數:387 支持度:0.0085
[C03,A22] 支持個數:366 支持度:0.0081
[C03,A23] 支持個數:241 支持度:0.0053
[C03,A24] 支持個數:78 支持度:0.0017
[C05,A13] 支持個數:99 支持度:0.0022
[C05,A14] 支持個數:213 支持度:0.0047
[C05,A15] 支持個數:317 支持度:0.0070
[C05,A16] 支持個數:410 支持度:0.0090
[C05,A17] 支持個數:455 支持度:0.0100
[C05,A18] 支持個數:371 支持度:0.0082
[C05,A19] 支持個數:306 支持度:0.0067
[C05,A20] 支持個數:329 支持度:0.0073
[C05,A21] 支持個數:366 支持度:0.0081
[C05,A22] 支持個數:416 支持度:0.0092
[C05,A23] 支持個數:263 支持度:0.0058
[C05,A24] 支持個數:97 支持度:0.0021
[C07,A12] 支持個數:90 支持度:0.0020
[C07,A13] 支持個數:227 支持度:0.0050
[C07,A14] 支持個數:437 支持度:0.0096
[C07,A15] 支持個數:624 支持度:0.0138
[C07,A16] 支持個數:674 支持度:0.0149
[C07,A17] 支持個數:679 支持度:0.0150
[C07,A18] 支持個數:548 支持度:0.0121
[C07,A19] 支持個數:549 支持度:0.0121
[C07,A20] 支持個數:502 支持度:0.0111
[C07,A21] 支持個數:502 支持度:0.0111
[C07,A22] 支持個數:426 支持度:0.0094
[C07,A23] 支持個數:312 支持度:0.0069
[C07,A24] 支持個數:117 支持度:0.0026
[C11,A14] 支持個數:58 支持度:0.0013
[C11,A15] 支持個數:85 支持度:0.0019
[C11,A16] 支持個數:91 支持度:0.0020
[C11,A17] 支持個數:79 支持度:0.0017
[C11,A18] 支持個數:72 支持度:0.0016
[C11,A19] 支持個數:53 支持度:0.0012
[C11,A20] 支持個數:54 支持度:0.0012
[C11,A21] 支持個數:82 支持度:0.0018
[C11,A23] 支持個數:53 支持度:0.0012
[C12,A15] 支持個數:46 支持度:0.0010
[C12,A16] 支持個數:58 支持度:0.0013
[C12,A17] 支持個數:62 支持度:0.0014
[C12,A19] 支持個數:56 支持度:0.0012
[C12,A20] 支持個數:51 支持度:0.0011
[C12,A21] 支持個數:61 支持度:0.0013
[C12,A22] 支持個數:58 支持度:0.0013
[C12,A23] 支持個數:47 支持度:0.0010
[C22,A15] 支持個數:47 支持度:0.0010
[C22,A16] 支持個數:61 支持度:0.0013
[C22,A17] 支持個數:62 支持度:0.0014
[C22,A18] 支持個數:61 支持度:0.0013
[C22,A19] 支持個數:58 支持度:0.0013
[C22,A20] 支持個數:67 支持度:0.0015
[C22,A21] 支持個數:62 支持度:0.0014
[C22,A22] 支持個數:60 支持度:0.0013
[C22,A23] 支持個數:45 支持度:0.0010
[C31,A12] 支持個數:64 支持度:0.0014
[C31,A13] 支持個數:204 支持度:0.0045
[C31,A14] 支持個數:371 支持度:0.0082
[C31,A15] 支持個數:572 支持度:0.0126
[C31,A16] 支持個數:682 支持度:0.0150
