最小支持度 0.0010
最小支持個數 1
[C01] 支持個數:159 支持度:0.1442
[C03] 支持個數:99 支持度:0.0898
[C05] 支持個數:97 支持度:0.0879
[C07] 支持個數:142 支持度:0.1287
[C11] 支持個數:18 支持度:0.0163
[C12] 支持個數:10 支持度:0.0091
[C22] 支持個數:19 支持度:0.0172
[C31] 支持個數:122 支持度:0.1106
[C32] 支持個數:79 支持度:0.0716
[C33] 支持個數:16 支持度:0.0145
[C34] 支持個數:22 支持度:0.0199
[C35] 支持個數:39 支持度:0.0354
[C37] 支持個數:97 支持度:0.0879
[C38] 支持個數:21 支持度:0.0190
[C39] 支持個數:39 支持度:0.0354
[C40] 支持個數:32 支持度:0.0290
[C43] 支持個數:53 支持度:0.0481
[C44] 支持個數:5 支持度:0.0045
[C45] 支持個數:26 支持度:0.0236
[C46] 支持個數:6 支持度:0.0054
[C90] 支持個數:2 支持度:0.0018
[S1] 支持個數:479 支持度:0.4343
[S2] 支持個數:624 支持度:0.5657
[A13] 支持個數:1 支持度:0.0009
[A14] 支持個數:2 支持度:0.0018
[A16] 支持個數:2 支持度:0.0018
[A17] 支持個數:7 支持度:0.0063
[A18] 支持個數:22 支持度:0.0199
[A19] 支持個數:45 支持度:0.0408
[A20] 支持個數:58 支持度:0.0526
[A21] 支持個數:121 支持度:0.1097
[A22] 支持個數:233 支持度:0.2112
[A23] 支持個數:283 支持度:0.2566
[A24] 支持個數:218 支持度:0.1976
[A25] 支持個數:99 支持度:0.0898
[A26] 支持個數:12 支持度:0.0109
[C01,S1] 支持個數:64 支持度:0.0580
[C01,S2] 支持個數:95 支持度:0.0861
[C03,S1] 支持個數:43 支持度:0.0390
[C03,S2] 支持個數:56 支持度:0.0508
[C05,S1] 支持個數:40 支持度:0.0363
[C05,S2] 支持個數:57 支持度:0.0517
[C07,S1] 支持個數:72 支持度:0.0653
[C07,S2] 支持個數:70 支持度:0.0635
[C11,S1] 支持個數:8 支持度:0.0073
[C11,S2] 支持個數:10 支持度:0.0091
[C12,S1] 支持個數:8 支持度:0.0073
[C12,S2] 支持個數:2 支持度:0.0018
[C22,S1] 支持個數:6 支持度:0.0054
[C22,S2] 支持個數:13 支持度:0.0118
[C31,S1] 支持個數:51 支持度:0.0462
[C31,S2] 支持個數:71 支持度:0.0644
[C32,S1] 支持個數:34 支持度:0.0308
[C32,S2] 支持個數:45 支持度:0.0408
[C33,S1] 支持個數:9 支持度:0.0082
[C33,S2] 支持個數:7 支持度:0.0063
[C34,S1] 支持個數:13 支持度:0.0118
[C34,S2] 支持個數:9 支持度:0.0082
[C35,S1] 支持個數:17 支持度:0.0154
[C35,S2] 支持個數:22 支持度:0.0199
[C37,S1] 支持個數:33 支持度:0.0299
[C37,S2] 支持個數:64 支持度:0.0580
[C38,S1] 支持個數:8 支持度:0.0073
[C38,S2] 支持個數:13 支持度:0.0118
[C39,S1] 支持個數:17 支持度:0.0154
[C39,S2] 支持個數:22 支持度:0.0199
[C40,S1] 支持個數:13 支持度:0.0118
[C40,S2] 支持個數:19 支持度:0.0172
[C43,S1] 支持個數:25 支持度:0.0227
[C43,S2] 支持個數:28 支持度:0.0254
[C44,S1] 支持個數:2 支持度:0.0018
