最小支持度 0.0010
最小支持個數 3
[C01] 支持個數:316 支持度:0.1016
[C03] 支持個數:279 支持度:0.0897
[C05] 支持個數:279 支持度:0.0897
[C07] 支持個數:408 支持度:0.1311
[C11] 支持個數:67 支持度:0.0215
[C12] 支持個數:57 支持度:0.0183
[C22] 支持個數:52 支持度:0.0167
[C31] 支持個數:452 支持度:0.1453
[C32] 支持個數:210 支持度:0.0675
[C33] 支持個數:75 支持度:0.0241
[C34] 支持個數:59 支持度:0.0190
[C35] 支持個數:93 支持度:0.0299
[C37] 支持個數:191 支持度:0.0614
[C38] 支持個數:64 支持度:0.0206
[C39] 支持個數:135 支持度:0.0434
[C40] 支持個數:116 支持度:0.0373
[C43] 支持個數:135 支持度:0.0434
[C44] 支持個數:13 支持度:0.0042
[C45] 支持個數:73 支持度:0.0235
[C46] 支持個數:20 支持度:0.0064
[C90] 支持個數:16 支持度:0.0051
[S1] 支持個數:2019 支持度:0.6490
[S2] 支持個數:1092 支持度:0.3510
[A02] 支持個數:3 支持度:0.0010
[A09] 支持個數:4 支持度:0.0013
[A10] 支持個數:3 支持度:0.0010
[A11] 支持個數:5 支持度:0.0016
[A12] 支持個數:39 支持度:0.0125
[A13] 支持個數:106 支持度:0.0341
[A14] 支持個數:153 支持度:0.0492
[A15] 支持個數:200 支持度:0.0643
[A16] 支持個數:244 支持度:0.0784
[A17] 支持個數:319 支持度:0.1025
[A18] 支持個數:394 支持度:0.1266
[A19] 支持個數:379 支持度:0.1218
[A20] 支持個數:317 支持度:0.1019
[A21] 支持個數:331 支持度:0.1064
[A22] 支持個數:317 支持度:0.1019
[A23] 支持個數:191 支持度:0.0614
[A24] 支持個數:78 支持度:0.0251
[A25] 支持個數:21 支持度:0.0068
[C01,S1] 支持個數:185 支持度:0.0595
[C01,S2] 支持個數:131 支持度:0.0421
[C03,S1] 支持個數:182 支持度:0.0585
[C03,S2] 支持個數:97 支持度:0.0312
[C05,S1] 支持個數:176 支持度:0.0566
[C05,S2] 支持個數:103 支持度:0.0331
[C07,S1] 支持個數:278 支持度:0.0894
[C07,S2] 支持個數:130 支持度:0.0418
[C11,S1] 支持個數:48 支持度:0.0154
[C11,S2] 支持個數:19 支持度:0.0061
[C12,S1] 支持個數:34 支持度:0.0109
[C12,S2] 支持個數:23 支持度:0.0074
[C22,S1] 支持個數:33 支持度:0.0106
[C22,S2] 支持個數:19 支持度:0.0061
[C31,S1] 支持個數:291 支持度:0.0935
[C31,S2] 支持個數:161 支持度:0.0518
[C32,S1] 支持個數:140 支持度:0.0450
[C32,S2] 支持個數:70 支持度:0.0225
[C33,S1] 支持個數:55 支持度:0.0177
[C33,S2] 支持個數:20 支持度:0.0064
[C34,S1] 支持個數:39 支持度:0.0125
[C34,S2] 支持個數:20 支持度:0.0064
[C35,S1] 支持個數:64 支持度:0.0206
[C35,S2] 支持個數:29 支持度:0.0093
[C37,S1] 支持個數:115 支持度:0.0370
[C37,S2] 支持個數:76 支持度:0.0244
[C38,S1] 支持個數:40 支持度:0.0129
[C38,S2] 支持個數:24 支持度:0.0077
[C39,S1] 支持個數:84 支持度:0.0270
[C39,S2] 支持個數:51 支持度:0.0164
[C40,S1] 支持個數:77 支持度:0.0248
[C40,S2] 支持個數:39 支持度:0.0125
[C43,S1] 支持個數:96 支持度:0.0309
[C43,S2] 支持個數:39 支持度:0.0125
[C44,S1] 支持個數:10 支持度:0.0032
[C44,S2] 支持個數:3 支持度:0.0010
[C45,S1] 支持個數:48 支持度:0.0154
[C45,S2] 支持個數:25 支持度:0.0080
[C46,S1] 支持個數:12 支持度:0.0039
[C46,S2] 支持個數:8 支持度:0.0026
[C90,S1] 支持個數:11 支持度:0.0035
[C90,S2] 支持個數:5 支持度:0.0016
[C01,A13] 支持個數:11 支持度:0.0035
[C01,A14] 支持個數:7 支持度:0.0023
[C01,A15] 支持個數:20 支持度:0.0064
[C01,A16] 支持個數:17 支持度:0.0055
[C01,A17] 支持個數:23 支持度:0.0074
[C01,A18] 支持個數:38 支持度:0.0122
[C01,A19] 支持個數:48 支持度:0.0154
[C01,A20] 支持個數:41 支持度:0.0132
[C01,A21] 支持個數:31 支持度:0.0100
[C01,A22] 支持個數:38 支持度:0.0122
[C01,A23] 支持個數:21 支持度:0.0068
[C01,A24] 支持個數:12 支持度:0.0039
[C01,A25] 支持個數:5 支持度:0.0016
[C03,A12] 支持個數:10 支持度:0.0032
[C03,A13] 支持個數:9 支持度:0.0029
[C03,A14] 支持個數:14 支持度:0.0045
[C03,A15] 支持個數:13 支持度:0.0042
[C03,A16] 支持個數:24 支持度:0.0077
[C03,A17] 支持個數:31 支持度:0.0100
[C03,A18] 支持個數:31 支持度:0.0100
[C03,A19] 支持個數:38 支持度:0.0122
[C03,A20] 支持個數:26 支持度:0.0084
[C03,A21] 支持個數:33 支持度:0.0106
[C03,A22] 支持個數:25 支持度:0.0080
[C03,A23] 支持個數:18 支持度:0.0058
[C03,A24] 支持個數:4 支持度:0.0013
[C05,A12] 支持個數:3 支持度:0.0010
[C05,A13] 支持個數:4 支持度:0.0013
[C05,A14] 支持個數:13 支持度:0.0042
[C05,A15] 支持個數:15 支持度:0.0048
[C05,A16] 支持個數:23 支持度:0.0074
[C05,A17] 支持個數:28 支持度:0.0090
[C05,A18] 支持個數:41 支持度:0.0132
[C05,A19] 支持個數:31 支持度:0.0100
[C05,A20] 支持個數:25 支持度:0.0080
