最小支持度 0.0010
最小支持個數 37
[C01] 支持個數:3137 支持度:0.0844
[C03] 支持個數:4041 支持度:0.1088
[C05] 支持個數:3065 支持度:0.0825
[C07] 支持個數:4722 支持度:0.1271
[C11] 支持個數:799 支持度:0.0215
[C12] 支持個數:559 支持度:0.0150
[C22] 支持個數:415 支持度:0.0112
[C31] 支持個數:6020 支持度:0.1620
[C32] 支持個數:3218 支持度:0.0866
[C33] 支持個數:774 支持度:0.0208
[C34] 支持個數:919 支持度:0.0247
[C35] 支持個數:1019 支持度:0.0274
[C37] 支持個數:2013 支持度:0.0542
[C38] 支持個數:1053 支持度:0.0283
[C39] 支持個數:1354 支持度:0.0364
[C40] 支持個數:1126 支持度:0.0303
[C43] 支持個數:1571 支持度:0.0423
[C44] 支持個數:155 支持度:0.0042
[C45] 支持個數:623 支持度:0.0168
[C46] 支持個數:410 支持度:0.0110
[C90] 支持個數:143 支持度:0.0038
[S1] 支持個數:24577 支持度:0.6615
[S2] 支持個數:12576 支持度:0.3385
[A08] 支持個數:84 支持度:0.0023
[A09] 支持個數:542 支持度:0.0146
[A10] 支持個數:1517 支持度:0.0408
[A11] 支持個數:2102 支持度:0.0566
[A12] 支持個數:2853 支持度:0.0768
[A13] 支持個數:3385 支持度:0.0911
[A14] 支持個數:3350 支持度:0.0902
[A15] 支持個數:3569 支持度:0.0961
[A16] 支持個數:3614 支持度:0.0973
[A17] 支持個數:3533 支持度:0.0951
[A18] 支持個數:3233 支持度:0.0870
[A19] 支持個數:2454 支持度:0.0661
[A20] 支持個數:2064 支持度:0.0556
[A21] 支持個數:1961 支持度:0.0528
[A22] 支持個數:1516 支持度:0.0408
[A23] 支持個數:955 支持度:0.0257
[A24] 支持個數:352 支持度:0.0095
[A25] 支持個數:64 支持度:0.0017
[C01,S1] 支持個數:1938 支持度:0.0522
[C01,S2] 支持個數:1199 支持度:0.0323
[C03,S1] 支持個數:2570 支持度:0.0692
[C03,S2] 支持個數:1471 支持度:0.0396
[C05,S1] 支持個數:2048 支持度:0.0551
[C05,S2] 支持個數:1017 支持度:0.0274
[C07,S1] 支持個數:3144 支持度:0.0846
[C07,S2] 支持個數:1578 支持度:0.0425
[C11,S1] 支持個數:520 支持度:0.0140
[C11,S2] 支持個數:279 支持度:0.0075
[C12,S1] 支持個數:355 支持度:0.0096
[C12,S2] 支持個數:204 支持度:0.0055
[C22,S1] 支持個數:270 支持度:0.0073
[C22,S2] 支持個數:145 支持度:0.0039
[C31,S1] 支持個數:3868 支持度:0.1041
[C31,S2] 支持個數:2152 支持度:0.0579
[C32,S1] 支持個數:2147 支持度:0.0578
[C32,S2] 支持個數:1071 支持度:0.0288
[C33,S1] 支持個數:549 支持度:0.0148
[C33,S2] 支持個數:225 支持度:0.0061
[C34,S1] 支持個數:608 支持度:0.0164
[C34,S2] 支持個數:311 支持度:0.0084
[C35,S1] 支持個數:693 支持度:0.0187
[C35,S2] 支持個數:326 支持度:0.0088
[C37,S1] 支持個數:1363 支持度:0.0367
[C37,S2] 支持個數:650 支持度:0.0175
[C38,S1] 支持個數:720 支持度:0.0194
[C38,S2] 支持個數:333 支持度:0.0090
[C39,S1] 支持個數:952 支持度:0.0256
[C39,S2] 支持個數:402 支持度:0.0108
[C40,S1] 支持個數:773 支持度:0.0208
[C40,S2] 支持個數:353 支持度:0.0095
[C43,S1] 支持個數:1117 支持度:0.0301
[C43,S2] 支持個數:454 支持度:0.0122
[C44,S1] 支持個數:86 支持度:0.0023
[C44,S2] 支持個數:69 支持度:0.0019
[C45,S1] 支持個數:441 支持度:0.0119
[C45,S2] 支持個數:182 支持度:0.0049
[C46,S1] 支持個數:301 支持度:0.0081
[C46,S2] 支持個數:109 支持度:0.0029
[C90,S1] 支持個數:99 支持度:0.0027
[C90,S2] 支持個數:44 支持度:0.0012
[C01,A09] 支持個數:51 支持度:0.0014
[C01,A10] 支持個數:131 支持度:0.0035
[C01,A11] 支持個數:164 支持度:0.0044
[C01,A12] 支持個數:245 支持度:0.0066
[C01,A13] 支持個數:240 支持度:0.0065
[C01,A14] 支持個數:217 支持度:0.0058
[C01,A15] 支持個數:290 支持度:0.0078
[C01,A16] 支持個數:308 支持度:0.0083
[C01,A17] 支持個數:285 支持度:0.0077
[C01,A18] 支持個數:288 支持度:0.0078
[C01,A19] 支持個數:258 支持度:0.0069
[C01,A20] 支持個數:183 支持度:0.0049
[C01,A21] 支持個數:170 支持度:0.0046
[C01,A22] 支持個數:131 支持度:0.0035
[C01,A23] 支持個數:98 支持度:0.0026
[C01,A24] 支持個數:48 支持度:0.0013
[C03,A09] 支持個數:63 支持度:0.0017
[C03,A10] 支持個數:183 支持度:0.0049
[C03,A11] 支持個數:270 支持度:0.0073
[C03,A12] 支持個數:343 支持度:0.0092
[C03,A13] 支持個數:381 支持度:0.0103
[C03,A14] 支持個數:366 支持度:0.0099
[C03,A15] 支持個數:426 支持度:0.0115
[C03,A16] 支持個數:402 支持度:0.0108
[C03,A17] 支持個數:403 支持度:0.0108
[C03,A18] 支持個數:344 支持度:0.0093
[C03,A19] 支持個數:266 支持度:0.0072
[C03,A20] 支持個數:204 支持度:0.0055
[C03,A21] 支持個數:154 支持度:0.0041
[C03,A22] 支持個數:124 支持度:0.0033
[C03,A23] 支持個數:79 支持度:0.0021
[C05,A09] 支持個數:41 支持度:0.0011
[C05,A10] 支持個數:100 支持度:0.0027
[C05,A11] 支持個數:159 支持度:0.0043
[C05,A12] 支持個數:209 支持度:0.0056
[C05,A13] 支持個數:246 支持度:0.0066
[C05,A14] 支持個數:271 支持度:0.0073
[C05,A15] 支持個數:260 支持度:0.0070
[C05,A16] 支持個數:293 支持度:0.0079
[C05,A17] 支持個數:323 支持度:0.0087
[C05,A18] 支持個數:301 支持度:0.0081
[C05,A19] 支持個數:189 支持度:0.0051
[C05,A20] 支持個數:160 支持度:0.0043
[C05,A21] 支持個數:205 支持度:0.0055
[C05,A22] 支持個數:154 支持度:0.0041
[C05,A23] 支持個數:93 支持度:0.0025
[C05,A24] 支持個數:48 支持度:0.0013
[C07,A09] 支持個數:67 支持度:0.0018
[C07,A10] 支持個數:159 支持度:0.0043
[C07,A11] 支持個數:262 支持度:0.0071
[C07,A12] 支持個數:333 支持度:0.0090
[C07,A13] 支持個數:467 支持度:0.0126
[C07,A14] 支持個數:449 支持度:0.0121
[C07,A15] 支持個數:471 支持度:0.0127
[C07,A16] 支持個數:487 支持度:0.0131
[C07,A17] 支持個數:486 支持度:0.0131
[C07,A18] 支持個數:414 支持度:0.0111
[C07,A19] 支持個數:340 支持度:0.0092
[C07,A20] 支持個數:256 支持度:0.0069
[C07,A21] 支持個數:212 支持度:0.0057
[C07,A22] 支持個數:174 支持度:0.0047
[C07,A23] 支持個數:94 支持度:0.0025
[C07,A24] 支持個數:37 支持度:0.0010
[C11,A12] 支持個數:60 支持度:0.0016
[C11,A13] 支持個數:71 支持度:0.0019
[C11,A14] 支持個數:67 支持度:0.0018
[C11,A15] 支持個數:80 支持度:0.0022
[C11,A16] 支持個數:88 支持度:0.0024
[C11,A17] 支持個數:83 支持度:0.0022
[C11,A18] 支持個數:72 支持度:0.0019
[C11,A19] 支持個數:58 支持度:0.0016
[C11,A20] 支持個數:43 支持度:0.0012
[C11,A21] 支持個數:39 支持度:0.0010
[C12,A12] 支持個數:54 支持度:0.0015
[C12,A13] 支持個數:48 支持度:0.0013
[C12,A14] 支持個數:64 支持度:0.0017
[C12,A15] 支持個數:53 支持度:0.0014
[C12,A16] 支持個數:49 支持度:0.0013
[C12,A17] 支持個數:50 支持度:0.0013
[C12,A18] 支持個數:48 支持度:0.0013
[C12,A19] 支持個數:39 支持度:0.0010
[C22,A13] 支持個數:39 支持度:0.0010
[C22,A14] 支持個數:40 支持度:0.0011
[C22,A15] 支持個數:39 支持度:0.0010
[C22,A16] 支持個數:53 支持度:0.0014
[C31,A09] 支持個數:98 支持度:0.0026
[C31,A10] 支持個數:277 支持度:0.0075
[C31,A11] 支持個數:368 支持度:0.0099
[C31,A12] 支持個數:473 支持度:0.0127
[C31,A13] 支持個數:594 支持度:0.0160
[C31,A14] 支持個數:622 支持度:0.0167
[C31,A15] 支持個數:606 支持度:0.0163
[C31,A16] 支持個數:595 支持度:0.0160
[C31,A17] 支持個數:571 支持度:0.0154
[C31,A18] 支持個數:511 支持度:0.0138
[C31,A19] 支持個數:398 支持度:0.0107
[C31,A20] 支持個數:309 支持度:0.0083
[C31,A21] 支持個數:219 支持度:0.0059
[C31,A22] 支持個數:204 支持度:0.0055
[C31,A23] 支持個數:105 支持度:0.0028
[C31,A24] 支持個數:45 支持度:0.0012
[C32,A09] 支持個數:73 支持度:0.0020
[C32,A10] 支持個數:172 支持度:0.0046
[C32,A11] 支持個數:241 支持度:0.0065
[C32,A12] 支持個數:302 支持度:0.0081
[C32,A13] 支持個數:330 支持度:0.0089
[C32,A14] 支持個數:314 支持度:0.0085
[C32,A15] 支持個數:299 支持度:0.0080
[C32,A16] 支持個數:289 支持度:0.0078
[C32,A17] 支持個數:259 支持度:0.0070
[C32,A18] 支持個數:250 支持度:0.0067
[C32,A19] 支持個數:174 支持度:0.0047
[C32,A20] 支持個數:144 支持度:0.0039
[C32,A21] 支持個數:146 支持度:0.0039
[C32,A22] 支持個數:96 支持度:0.0026
[C32,A23] 支持個數:73 支持度:0.0020
[C33,A10] 支持個數:41 支持度:0.0011
[C33,A11] 支持個數:44 支持度:0.0012
[C33,A12] 支持個數:67 支持度:0.0018
[C33,A13] 支持個數:77 支持度:0.0021
[C33,A14] 支持個數:81 支持度:0.0022
[C33,A15] 支持個數:66 支持度:0.0018
[C33,A16] 支持個數:65 支持度:0.0017
[C33,A17] 支持個數:69 支持度:0.0019
[C33,A18] 支持個數:63 支持度:0.0017
[C33,A20] 支持個數:48 支持度:0.0013
[C33,A21] 支持個數:50 支持度:0.0013
[C34,A10] 支持個數:37 支持度:0.0010
[C34,A11] 支持個數:49 支持度:0.0013
[C34,A12] 支持個數:66 支持度:0.0018
[C34,A13] 支持個數:74 支持度:0.0020
[C34,A14] 支持個數:76 支持度:0.0020
[C34,A15] 支持個數:90 支持度:0.0024
[C34,A16] 支持個數:88 支持度:0.0024
[C34,A17] 支持個數:72 支持度:0.0019
[C34,A18] 支持個數:84 支持度:0.0023
[C34,A19] 支持個數:57 支持度:0.0015
[C34,A20] 支持個數:57 支持度:0.0015
[C34,A21] 支持個數:63 支持度:0.0017
[C34,A22] 支持個數:41 支持度:0.0011
[C35,A10] 支持個數:42 支持度:0.0011
[C35,A11] 支持個數:53 支持度:0.0014
[C35,A12] 支持個數:95 支持度:0.0026
[C35,A13] 支持個數:87 支持度:0.0023
[C35,A14] 支持個數:75 支持度:0.0020
[C35,A15] 支持個數:98 支持度:0.0026
[C35,A16] 支持個數:92 支持度:0.0025
[C35,A17] 支持個數:85 支持度:0.0023
[C35,A18] 支持個數:79 支持度:0.0021
[C35,A19] 支持個數:77 支持度:0.0021
[C35,A20] 支持個數:62 支持度:0.0017
[C35,A21] 支持個數:65 支持度:0.0017
[C35,A22] 支持個數:54 支持度:0.0015
[C37,A10] 支持個數:77 支持度:0.0021
[C37,A11] 支持個數:99 支持度:0.0027
[C37,A12] 支持個數:153 支持度:0.0041
[C37,A13] 支持個數:190 支持度:0.0051
[C37,A14] 支持個數:174 支持度:0.0047
[C37,A15] 支持個數:178 支持度:0.0048
[C37,A16] 支持個數:184 支持度:0.0050
[C37,A17] 支持個數:188 支持度:0.0051
[C37,A18] 支持個數:168 支持度:0.0045
[C37,A19] 支持個數:125 支持度:0.0034
[C37,A20] 支持個數:125 支持度:0.0034
[C37,A21] 支持個數:119 支持度:0.0032
[C37,A22] 支持個數:107 支持度:0.0029
[C37,A23] 支持個數:79 支持度:0.0021
[C38,A10] 支持個數:37 支持度:0.0010
[C38,A11] 支持個數:47 支持度:0.0013
[C38,A12] 支持個數:79 支持度:0.0021
[C38,A13] 支持個數:85 支持度:0.0023
[C38,A14] 支持個數:87 支持度:0.0023
[C38,A15] 支持個數:119 支持度:0.0032
[C38,A16] 支持個數:93 支持度:0.0025
[C38,A17] 支持個數:108 支持度:0.0029
[C38,A18] 支持個數:90 支持度:0.0024
[C38,A19] 支持個數:55 支持度:0.0015
[C38,A20] 支持個數:67 支持度:0.0018
[C38,A21] 支持個數:63 支持度:0.0017
[C38,A22] 支持個數:60 支持度:0.0016
[C39,A10] 支持個數:48 支持度:0.0013
[C39,A11] 支持個數:51 支持度:0.0014
[C39,A12] 支持個數:112 支持度:0.0030
[C39,A13] 支持個數:118 支持度:0.0032
[C39,A14] 支持個數:104 支持度:0.0028
[C39,A15] 支持個數:117 支持度:0.0031
[C39,A16] 支持個數:127 支持度:0.0034
[C39,A17] 支持個數:122 支持度:0.0033
[C39,A18] 支持個數:99 支持度:0.0027
[C39,A19] 支持個數:82 支持度:0.0022
[C39,A20] 支持個數:102 支持度:0.0027
[C39,A21] 支持個數:127 支持度:0.0034
[C39,A22] 支持個數:80 支持度:0.0022
[C39,A23] 支持個數:44 支持度:0.0012
[C40,A11] 支持個數:37 支持度:0.0010
[C40,A12] 支持個數:69 支持度:0.0019
[C40,A13] 支持個數:98 支持度:0.0026
[C40,A14] 支持個數:93 支持度:0.0025
[C40,A15] 支持個數:97 支持度:0.0026
[C40,A16] 支持個數:88 支持度:0.0024
[C40,A17] 支持個數:114 支持度:0.0031
[C40,A18] 支持個數:106 支持度:0.0029
[C40,A19] 支持個數:75 支持度:0.0020
[C40,A20] 支持個數:79 支持度:0.0021
