最小支持度 0.0010
最小支持個數 1
[C01] 支持個數:119 支持度:0.0723
[C03] 支持個數:169 支持度:0.1027
[C05] 支持個數:136 支持度:0.0826
[C07] 支持個數:208 支持度:0.1264
[C11] 支持個數:25 支持度:0.0152
[C12] 支持個數:31 支持度:0.0188
[C22] 支持個數:12 支持度:0.0073
[C31] 支持個數:254 支持度:0.1543
[C32] 支持個數:179 支持度:0.1087
[C33] 支持個數:57 支持度:0.0346
[C34] 支持個數:49 支持度:0.0298
[C35] 支持個數:54 支持度:0.0328
[C37] 支持個數:73 支持度:0.0443
[C38] 支持個數:50 支持度:0.0304
[C39] 支持個數:53 支持度:0.0322
[C40] 支持個數:42 支持度:0.0255
[C43] 支持個數:64 支持度:0.0389
[C44] 支持個數:4 支持度:0.0024
[C45] 支持個數:37 支持度:0.0225
[C46] 支持個數:19 支持度:0.0115
[C90] 支持個數:9 支持度:0.0055
[C91] 支持個數:2 支持度:0.0012
[S1] 支持個數:1098 支持度:0.6671
[S2] 支持個數:548 支持度:0.3329
[A01] 支持個數:6 支持度:0.0036
[A02] 支持個數:25 支持度:0.0152
[A03] 支持個數:26 支持度:0.0158
[A04] 支持個數:16 支持度:0.0097
[A05] 支持個數:21 支持度:0.0128
[A06] 支持個數:22 支持度:0.0134
[A07] 支持個數:42 支持度:0.0255
[A08] 支持個數:31 支持度:0.0188
[A09] 支持個數:68 支持度:0.0413
[A10] 支持個數:92 支持度:0.0559
[A11] 支持個數:98 支持度:0.0595
[A12] 支持個數:130 支持度:0.0790
[A13] 支持個數:148 支持度:0.0899
[A14] 支持個數:142 支持度:0.0863
[A15] 支持個數:158 支持度:0.0960
[A16] 支持個數:156 支持度:0.0948
[A17] 支持個數:120 支持度:0.0729
[A18] 支持個數:119 支持度:0.0723
[A19] 支持個數:66 支持度:0.0401
[A20] 支持個數:47 支持度:0.0286
[A21] 支持個數:59 支持度:0.0358
[A22] 支持個數:35 支持度:0.0213
[A23] 支持個數:14 支持度:0.0085
[A24] 支持個數:4 支持度:0.0024
[A25] 支持個數:1 支持度:0.0006
[C01,S1] 支持個數:80 支持度:0.0486
[C01,S2] 支持個數:39 支持度:0.0237
[C03,S1] 支持個數:116 支持度:0.0705
[C03,S2] 支持個數:53 支持度:0.0322
[C05,S1] 支持個數:83 支持度:0.0504
[C05,S2] 支持個數:53 支持度:0.0322
[C07,S1] 支持個數:133 支持度:0.0808
[C07,S2] 支持個數:75 支持度:0.0456
[C11,S1] 支持個數:16 支持度:0.0097
[C11,S2] 支持個數:9 支持度:0.0055
[C12,S1] 支持個數:23 支持度:0.0140
[C12,S2] 支持個數:8 支持度:0.0049
[C22,S1] 支持個數:7 支持度:0.0043
[C22,S2] 支持個數:5 支持度:0.0030
[C31,S1] 支持個數:172 支持度:0.1045
[C31,S2] 支持個數:82 支持度:0.0498
[C32,S1] 支持個數:129 支持度:0.0784
[C32,S2] 支持個數:50 支持度:0.0304
[C33,S1] 支持個數:44 支持度:0.0267
[C33,S2] 支持個數:13 支持度:0.0079
[C34,S1] 支持個數:35 支持度:0.0213
[C34,S2] 支持個數:14 支持度:0.0085
[C35,S1] 支持個數:31 支持度:0.0188
[C35,S2] 支持個數:23 支持度:0.0140
[C37,S1] 支持個數:49 支持度:0.0298
[C37,S2] 支持個數:24 支持度:0.0146
[C38,S1] 支持個數:36 支持度:0.0219
[C38,S2] 支持個數:14 支持度:0.0085
[C39,S1] 支持個數:33 支持度:0.0200
[C39,S2] 支持個數:20 支持度:0.0122
[C40,S1] 支持個數:23 支持度:0.0140
[C40,S2] 支持個數:19 支持度:0.0115
[C43,S1] 支持個數:40 支持度:0.0243
[C43,S2] 支持個數:24 支持度:0.0146
[C44,S1] 支持個數:4 支持度:0.0024
[C45,S1] 支持個數:27 支持度:0.0164
[C45,S2] 支持個數:10 支持度:0.0061
[C46,S1] 支持個數:11 支持度:0.0067
[C46,S2] 支持個數:8 支持度:0.0049
[C90,S1] 支持個數:5 支持度:0.0030
[C90,S2] 支持個數:4 支持度:0.0024
[C91,S1] 支持個數:1 支持度:0.0006
[C91,S2] 支持個數:1 支持度:0.0006
[C01,A02] 支持個數:1 支持度:0.0006
[C01,A03] 支持個數:1 支持度:0.0006
[C01,A04] 支持個數:1 支持度:0.0006
[C01,A05] 支持個數:3 支持度:0.0018
[C01,A06] 支持個數:2 支持度:0.0012
[C01,A07] 支持個數:1 支持度:0.0006
[C01,A08] 支持個數:4 支持度:0.0024
[C01,A09] 支持個數:4 支持度:0.0024
[C01,A10] 支持個數:13 支持度:0.0079
[C01,A11] 支持個數:7 支持度:0.0043
[C01,A12] 支持個數:8 支持度:0.0049
[C01,A13] 支持個數:9 支持度:0.0055
[C01,A14] 支持個數:7 支持度:0.0043
[C01,A15] 支持個數:8 支持度:0.0049
[C01,A16] 支持個數:4 支持度:0.0024
[C01,A17] 支持個數:9 支持度:0.0055
[C01,A18] 支持個數:13 支持度:0.0079
[C01,A19] 支持個數:5 支持度:0.0030
[C01,A20] 支持個數:11 支持度:0.0067
[C01,A21] 支持個數:2 支持度:0.0012
[C01,A22] 支持個數:3 支持度:0.0018
[C01,A23] 支持個數:1 支持度:0.0006
[C01,A24] 支持個數:2 支持度:0.0012
[C03,A01] 支持個數:1 支持度:0.0006
[C03,A02] 支持個數:3 支持度:0.0018
[C03,A03] 支持個數:4 支持度:0.0024
[C03,A04] 支持個數:4 支持度:0.0024
[C03,A06] 支持個數:4 支持度:0.0024
[C03,A07] 支持個數:7 支持度:0.0043
[C03,A08] 支持個數:5 支持度:0.0030
[C03,A09] 支持個數:4 支持度:0.0024
[C03,A10] 支持個數:13 支持度:0.0079
[C03,A11] 支持個數:16 支持度:0.0097
[C03,A12] 支持個數:10 支持度:0.0061
[C03,A13] 支持個數:14 支持度:0.0085
[C03,A14] 支持個數:17 支持度:0.0103
[C03,A15] 支持個數:14 支持度:0.0085
[C03,A16] 支持個數:15 支持度:0.0091
[C03,A17] 支持個數:12 支持度:0.0073
[C03,A18] 支持個數:10 支持度:0.0061
[C03,A19] 支持個數:3 支持度:0.0018
[C03,A20] 支持個數:4 支持度:0.0024
[C03,A21] 支持個數:6 支持度:0.0036
[C03,A22] 支持個數:3 支持度:0.0018
[C05,A02] 支持個數:3 支持度:0.0018
[C05,A03] 支持個數:3 支持度:0.0018
[C05,A04] 支持個數:2 支持度:0.0012
[C05,A05] 支持個數:2 支持度:0.0012
[C05,A07] 支持個數:7 支持度:0.0043
[C05,A08] 支持個數:1 支持度:0.0006
[C05,A09] 支持個數:2 支持度:0.0012
[C05,A10] 支持個數:6 支持度:0.0036
[C05,A11] 支持個數:8 支持度:0.0049
[C05,A12] 支持個數:12 支持度:0.0073
[C05,A13] 支持個數:7 支持度:0.0043
[C05,A14] 支持個數:15 支持度:0.0091
[C05,A15] 支持個數:12 支持度:0.0073
[C05,A16] 支持個數:15 支持度:0.0091
[C05,A17] 支持個數:11 支持度:0.0067
[C05,A18] 支持個數:11 支持度:0.0067
[C05,A19] 支持個數:5 支持度:0.0030
