city,sex,age_code
C01,S1,A19
C01,S1,A19
C01,S1,A23
C01,S1,A20
C01,S2,A24
C01,S1,A18
C01,S1,A23
C01,S1,A23
C01,S2,A22
C01,S1,A22
C01,S1,A23
C01,S1,A15
C07,S2,A19
C12,S1,A25
C31,S1,A21
C31,S1,A21
C31,S1,A18
C31,S1,A20
C31,S1,A20
C31,S1,A22
C32,S1,A25
C32,S2,A17
C32,S2,A21
C33,S1,A14
C43,S1,A19
C43,S1,A19
C45,S1,A21
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A20
C01,S1,A21
C01,S1,A21
C01,S2,A17
C01,S2,A20
C01,S2,A21
C01,S2,A26
C01,S1,A14
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A20
C01,S1,A21
C01,S1,A22
C01,S1,A22
C01,S1,A23
C01,S1,A23
C01,S1,A24
C01,S2,A18
C01,S2,A18
C01,S2,A19
C01,S2,A20
C01,S2,A21
C01,S2,A22
C01,S2,A22
C01,S2,A22
C01,S2,A23
C01,S2,A23
C01,S2,A23
C01,S2,A23
C01,S2,A25
C01,S1,A17
C01,S1,A17
C01,S1,A17
C01,S1,A18
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A22
C01,S1,A22
C01,S1,A22
C01,S1,A23
C01,S1,A24
C01,S1,A25
C01,S2,A18
C01,S2,A19
C01,S2,A19
C01,S2,A20
C01,S2,A20
C01,S2,A21
C01,S2,A21
C01,S2,A22
C01,S2,A24
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A21
C01,S1,A22
C01,S1,A23
C01,S1,A23
C01,S1,A24
C01,S2,A18
C01,S2,A18
C01,S2,A19
C01,S2,A20
C01,S2,A22
C01,S1,A17
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A21
C01,S1,A21
C01,S1,A22
C01,S1,A25
C01,S1,A25
C01,S2,A19
C01,S2,A19
C01,S2,A20
C01,S2,A22
C01,S1,A16
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A20
C01,S1,A21
C01,S1,A21
C01,S1,A23
C01,S2,A16
C01,S2,A20
C01,S2,A22
C01,S2,A22
C01,S2,A22
C01,S2,A23
C01,S2,A24
C01,S1,A16
C01,S1,A16
C01,S1,A18
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A20
C01,S1,A21
C01,S1,A21
C01,S1,A22
C01,S1,A22
C01,S1,A22
C01,S1,A22
C01,S1,A22
C01,S1,A23
C01,S1,A24
C01,S1,A26
C01,S2,A14
C01,S2,A14
C01,S2,A17
C01,S2,A18
C01,S2,A18
C01,S2,A20
C01,S2,A20
C01,S2,A20
C01,S2,A21
C01,S2,A21
C01,S2,A23
C01,S2,A23
C01,S1,A12
C01,S1,A17
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A20
C01,S1,A20
C01,S1,A20
C01,S1,A22
C01,S1,A22
C01,S1,A23
C01,S1,A24
C01,S1,A24
C01,S2,A18
C01,S2,A19
C01,S2,A20
C01,S2,A20
C01,S2,A20
C01,S2,A21
C01,S2,A22
C01,S2,A22
C01,S2,A23
C01,S1,A17
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A20
C01,S1,A21
C01,S1,A21
C01,S1,A21
C01,S1,A22
C01,S1,A22
C01,S2,A16
C01,S2,A19
C01,S2,A20
C01,S2,A20
C01,S2,A20
C01,S2,A20
C01,S2,A21
C01,S2,A22
C01,S2,A24
C01,S2,A25
C01,S1,A16
C01,S1,A17
C01,S1,A18
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A19
C01,S1,A21
C01,S1,A21
C01,S1,A21
C01,S1,A21
C01,S1,A22
C01,S1,A22
C01,S1,A23
C01,S1,A24
C01,S1,A24
C01,S1,A24
C01,S2,A17
C01,S2,A19
C01,S2,A20
C01,S2,A21
C01,S2,A22
C01,S2,A24
C01,S1,A13
C01,S1,A14
C01,S1,A14
C01,S1,A15
C01,S1,A17
C01,S1,A17
C01,S1,A17
C01,S1,A17
C01,S1,A18
C01,S1,A18
C01,S1,A18
C01,S1,A18
C01,S1,A18
C01,S1,A18
C01,S1,A19
C01,S1,A19
