最小支持度 0.0010
最小支持個數 59
[C01] 支持個數:4530 支持度:0.0757
[C03] 支持個數:6764 支持度:0.1131
[C05] 支持個數:4881 支持度:0.0816
[C07] 支持個數:7908 支持度:0.1322
[C11] 支持個數:966 支持度:0.0162
[C12] 支持個數:1010 支持度:0.0169
[C22] 支持個數:632 支持度:0.0106
[C31] 支持個數:6094 支持度:0.1019
[C32] 支持個數:6818 支持度:0.1140
[C33] 支持個數:1678 支持度:0.0281
[C34] 支持個數:949 支持度:0.0159
[C35] 支持個數:1972 支持度:0.0330
[C37] 支持個數:3201 支持度:0.0535
[C38] 支持個數:2262 支持度:0.0378
[C39] 支持個數:1918 支持度:0.0321
[C40] 支持個數:1881 支持度:0.0315
[C43] 支持個數:3257 支持度:0.0545
[C44] 支持個數:306 支持度:0.0051
[C45] 支持個數:1585 支持度:0.0265
[C46] 支持個數:898 支持度:0.0150
[C90] 支持個數:258 支持度:0.0043
[S1] 支持個數:30401 支持度:0.5083
[S2] 支持個數:29403 支持度:0.4917
[A12] 支持個數:116 支持度:0.0019
[A13] 支持個數:355 支持度:0.0059
[A14] 支持個數:665 支持度:0.0111
[A15] 支持個數:1029 支持度:0.0172
[A16] 支持個數:1783 支持度:0.0298
[A17] 支持個數:2375 支持度:0.0397
[A18] 支持個數:3079 支持度:0.0515
[A19] 支持個數:3580 支持度:0.0599
[A20] 支持個數:4359 支持度:0.0729
[A21] 支持個數:6745 支持度:0.1128
[A22] 支持個數:10132 支持度:0.1694
[A23] 支持個數:12353 支持度:0.2066
[A24] 支持個數:9241 支持度:0.1545
[A25] 支持個數:3323 支持度:0.0556
[A26] 支持個數:615 支持度:0.0103
[C01,S1] 支持個數:2276 支持度:0.0381
[C01,S2] 支持個數:2254 支持度:0.0377
[C03,S1] 支持個數:3582 支持度:0.0599
[C03,S2] 支持個數:3182 支持度:0.0532
[C05,S1] 支持個數:2324 支持度:0.0389
[C05,S2] 支持個數:2557 支持度:0.0428
[C07,S1] 支持個數:4071 支持度:0.0681
[C07,S2] 支持個數:3837 支持度:0.0642
[C11,S1] 支持個數:525 支持度:0.0088
[C11,S2] 支持個數:441 支持度:0.0074
[C12,S1] 支持個數:512 支持度:0.0086
[C12,S2] 支持個數:498 支持度:0.0083
[C22,S1] 支持個數:322 支持度:0.0054
[C22,S2] 支持個數:310 支持度:0.0052
[C31,S1] 支持個數:3313 支持度:0.0554
[C31,S2] 支持個數:2781 支持度:0.0465
[C32,S1] 支持個數:3792 支持度:0.0634
[C32,S2] 支持個數:3026 支持度:0.0506
[C33,S1] 支持個數:820 支持度:0.0137
[C33,S2] 支持個數:858 支持度:0.0143
[C34,S1] 支持個數:431 支持度:0.0072
[C34,S2] 支持個數:518 支持度:0.0087
[C35,S1] 支持個數:953 支持度:0.0159
[C35,S2] 支持個數:1019 支持度:0.0170
[C37,S1] 支持個數:1454 支持度:0.0243
[C37,S2] 支持個數:1747 支持度:0.0292
[C38,S1] 支持個數:1111 支持度:0.0186
[C38,S2] 支持個數:1151 支持度:0.0192
[C39,S1] 支持個數:798 支持度:0.0133
[C39,S2] 支持個數:1120 支持度:0.0187
[C40,S1] 支持個數:860 支持度:0.0144
[C40,S2] 支持個數:1021 支持度:0.0171
[C43,S1] 支持個數:1604 支持度:0.0268
[C43,S2] 支持個數:1653 支持度:0.0276
[C44,S1] 支持個數:150 支持度:0.0025
[C44,S2] 支持個數:156 支持度:0.0026
[C45,S1] 支持個數:917 支持度:0.0153
[C45,S2] 支持個數:668 支持度:0.0112
[C46,S1] 支持個數:468 支持度:0.0078
[C46,S2] 支持個數:430 支持度:0.0072
[C90,S1] 支持個數:104 支持度:0.0017
[C90,S2] 支持個數:154 支持度:0.0026
[C01,A15] 支持個數:72 支持度:0.0012
[C01,A16] 支持個數:100 支持度:0.0017
[C01,A17] 支持個數:160 支持度:0.0027
[C01,A18] 支持個數:172 支持度:0.0029
[C01,A19] 支持個數:208 支持度:0.0035
[C01,A20] 支持個數:277 支持度:0.0046
[C01,A21] 支持個數:408 支持度:0.0068
[C01,A22] 支持個數:684 支持度:0.0114
[C01,A23] 支持個數:932 支持度:0.0156
[C01,A24] 支持個數:908 支持度:0.0152
[C01,A25] 支持個數:447 支持度:0.0075
[C01,A26] 支持個數:105 支持度:0.0018
[C03,A14] 支持個數:89 支持度:0.0015
[C03,A15] 支持個數:131 支持度:0.0022
[C03,A16] 支持個數:216 支持度:0.0036
[C03,A17] 支持個數:291 支持度:0.0049
[C03,A18] 支持個數:390 支持度:0.0065
[C03,A19] 支持個數:410 支持度:0.0069
[C03,A20] 支持個數:506 支持度:0.0085
[C03,A21] 支持個數:748 支持度:0.0125
[C03,A22] 支持個數:1145 支持度:0.0191
[C03,A23] 支持個數:1435 支持度:0.0240
[C03,A24] 支持個數:982 支持度:0.0164
[C03,A25] 支持個數:305 支持度:0.0051
[C03,A26] 支持個數:60 支持度:0.0010
[C05,A15] 支持個數:73 支持度:0.0012
[C05,A16] 支持個數:134 支持度:0.0022
[C05,A17] 支持個數:199 支持度:0.0033
[C05,A18] 支持個數:243 支持度:0.0041
[C05,A19] 支持個數:275 支持度:0.0046
[C05,A20] 支持個數:336 支持度:0.0056
[C05,A21] 支持個數:536 支持度:0.0090
[C05,A22] 支持個數:840 支持度:0.0140
[C05,A23] 支持個數:1076 支持度:0.0180
[C05,A24] 支持個數:748 支持度:0.0125
[C05,A25] 支持個數:278 支持度:0.0046
[C07,A14] 支持個數:84 支持度:0.0014
[C07,A15] 支持個數:134 支持度:0.0022
[C07,A16] 支持個數:214 支持度:0.0036
[C07,A17] 支持個數:308 支持度:0.0052
[C07,A18] 支持個數:452 支持度:0.0076
[C07,A19] 支持個數:569 支持度:0.0095
[C07,A20] 支持個數:699 支持度:0.0117
[C07,A21] 支持個數:1004 支持度:0.0168
[C07,A22] 支持個數:1390 支持度:0.0232
[C07,A23] 支持個數:1529 支持度:0.0256
[C07,A24] 支持個數:1058 支持度:0.0177
[C07,A25] 支持個數:338 支持度:0.0057
[C07,A26] 支持個數:68 支持度:0.0011
[C11,A18] 支持個數:69 支持度:0.0012
[C11,A19] 支持個數:69 支持度:0.0012
[C11,A20] 支持個數:68 支持度:0.0011
[C11,A21] 支持個數:124 支持度:0.0021
[C11,A22] 支持個數:140 支持度:0.0023
[C11,A23] 支持個數:158 支持度:0.0026
[C11,A24] 支持個數:145 支持度:0.0024
[C12,A21] 支持個數:87 支持度:0.0015
[C12,A22] 支持個數:154 支持度:0.0026
[C12,A23] 支持個數:235 支持度:0.0039
[C12,A24] 支持個數:186 支持度:0.0031
[C12,A25] 支持個數:82 支持度:0.0014
[C22,A21] 支持個數:64 支持度:0.0011
[C22,A22] 支持個數:90 支持度:0.0015
[C22,A23] 支持個數:123 支持度:0.0021
[C22,A24] 支持個數:95 支持度:0.0016
[C31,A13] 支持個數:67 支持度:0.0011
[C31,A14] 支持個數:111 支持度:0.0019
[C31,A15] 支持個數:145 支持度:0.0024
[C31,A16] 支持個數:268 支持度:0.0045
[C31,A17] 支持個數:279 支持度:0.0047
[C31,A18] 支持個數:401 支持度:0.0067
[C31,A19] 支持個數:491 支持度:0.0082
[C31,A20] 支持個數:513 支持度:0.0086
[C31,A21] 支持個數:650 支持度:0.0109
[C31,A22] 支持個數:893 支持度:0.0149
[C31,A23] 支持個數:1103 支持度:0.0184
[C31,A24] 支持個數:773 支持度:0.0129
[C31,A25] 支持個數:313 支持度:0.0052
[C32,A14] 支持個數:70 支持度:0.0012
