最小支持度 0.0010
最小支持個數 198
[C01] 支持個數:25767 支持度:0.1297
[C03] 支持個數:15623 支持度:0.0787
[C05] 支持個數:15533 支持度:0.0782
[C07] 支持個數:20377 支持度:0.1026
[C11] 支持個數:3936 支持度:0.0198
[C12] 支持個數:2978 支持度:0.0150
[C22] 支持個數:1961 支持度:0.0099
[C31] 支持個數:31713 支持度:0.1597
[C32] 支持個數:14595 支持度:0.0735
[C33] 支持個數:4199 支持度:0.0211
[C34] 支持個數:5602 支持度:0.0282
[C35] 支持個數:5397 支持度:0.0272
[C37] 支持個數:11886 支持度:0.0598
[C38] 支持個數:5474 支持度:0.0276
[C39] 支持個數:8761 支持度:0.0441
[C40] 支持個數:6189 支持度:0.0312
[C43] 支持個數:8921 支持度:0.0449
[C44] 支持個數:1373 支持度:0.0069
[C45] 支持個數:3501 支持度:0.0176
[C46] 支持個數:3807 支持度:0.0192
[C90] 支持個數:947 支持度:0.0048
[S1] 支持個數:116206 支持度:0.5851
[S2] 支持個數:82402 支持度:0.4149
[A10] 支持個數:281 支持度:0.0014
[A11] 支持個數:484 支持度:0.0024
[A12] 支持個數:1001 支持度:0.0050
[A13] 支持個數:2207 支持度:0.0111
[A14] 支持個數:3597 支持度:0.0181
[A15] 支持個數:5612 支持度:0.0283
[A16] 支持個數:8015 支持度:0.0404
[A17] 支持個數:10690 支持度:0.0538
[A18] 支持個數:13556 支持度:0.0683
[A19] 支持個數:14791 支持度:0.0745
[A20] 支持個數:16705 支持度:0.0841
[A21] 支持個數:22936 支持度:0.1155
[A22] 支持個數:31315 支持度:0.1577
[A23] 支持個數:34173 支持度:0.1721
[A24] 支持個數:22886 支持度:0.1152
[A25] 支持個數:8176 支持度:0.0412
[A26] 支持個數:1632 支持度:0.0082
[C01,S1] 支持個數:15016 支持度:0.0756
[C01,S2] 支持個數:10751 支持度:0.0541
[C03,S1] 支持個數:9202 支持度:0.0463
[C03,S2] 支持個數:6421 支持度:0.0323
