最小支持度 0.0010
最小支持個數 2
[C01] 支持個數:304 支持度:0.1014
[C03] 支持個數:246 支持度:0.0821
[C05] 支持個數:201 支持度:0.0671
[C07] 支持個數:569 支持度:0.1899
[C11] 支持個數:45 支持度:0.0150
[C12] 支持個數:39 支持度:0.0130
[C22] 支持個數:23 支持度:0.0077
[C31] 支持個數:493 支持度:0.1645
[C32] 支持個數:203 支持度:0.0677
[C33] 支持個數:57 支持度:0.0190
[C34] 支持個數:46 支持度:0.0153
[C35] 支持個數:112 支持度:0.0374
[C37] 支持個數:144 支持度:0.0480
[C38] 支持個數:76 支持度:0.0254
[C39] 支持個數:93 支持度:0.0310
[C40] 支持個數:85 支持度:0.0284
[C43] 支持個數:162 支持度:0.0541
[C44] 支持個數:11 支持度:0.0037
[C45] 支持個數:35 支持度:0.0117
[C46] 支持個數:45 支持度:0.0150
[C90] 支持個數:7 支持度:0.0023
[S1] 支持個數:1432 支持度:0.4778
[S2] 支持個數:1565 支持度:0.5222
[A01] 支持個數:8 支持度:0.0027
[A02] 支持個數:3 支持度:0.0010
[A03] 支持個數:3 支持度:0.0010
[A06] 支持個數:2 支持度:0.0007
[A07] 支持個數:9 支持度:0.0030
[A08] 支持個數:4 支持度:0.0013
[A09] 支持個數:10 支持度:0.0033
[A10] 支持個數:14 支持度:0.0047
[A11] 支持個數:13 支持度:0.0043
[A12] 支持個數:22 支持度:0.0073
[A13] 支持個數:36 支持度:0.0120
[A14] 支持個數:51 支持度:0.0170
[A15] 支持個數:63 支持度:0.0210
[A16] 支持個數:99 支持度:0.0330
[A17] 支持個數:123 支持度:0.0410
[A18] 支持個數:145 支持度:0.0484
[A19] 支持個數:168 支持度:0.0561
[A20] 支持個數:210 支持度:0.0701
[A21] 支持個數:347 支持度:0.1158
[A22] 支持個數:465 支持度:0.1552
[A23] 支持個數:548 支持度:0.1828
[A24] 支持個數:468 支持度:0.1562
[A25] 支持個數:151 支持度:0.0504
[A26] 支持個數:33 支持度:0.0110
[C01,S1] 支持個數:159 支持度:0.0531
[C01,S2] 支持個數:145 支持度:0.0484
[C03,S1] 支持個數:124 支持度:0.0414
[C03,S2] 支持個數:122 支持度:0.0407
[C05,S1] 支持個數:81 支持度:0.0270
[C05,S2] 支持個數:120 支持度:0.0400
[C07,S1] 支持個數:271 支持度:0.0904
[C07,S2] 支持個數:298 支持度:0.0994
[C11,S1] 支持個數:24 支持度:0.0080
[C11,S2] 支持個數:21 支持度:0.0070
[C12,S1] 支持個數:17 支持度:0.0057
[C12,S2] 支持個數:22 支持度:0.0073
[C22,S1] 支持個數:14 支持度:0.0047
[C22,S2] 支持個數:9 支持度:0.0030
[C31,S1] 支持個數:245 支持度:0.0817
[C31,S2] 支持個數:248 支持度:0.0827
[C32,S1] 支持個數:103 支持度:0.0344
[C32,S2] 支持個數:100 支持度:0.0334
[C33,S1] 支持個數:30 支持度:0.0100
[C33,S2] 支持個數:27 支持度:0.0090
[C34,S1] 支持個數:21 支持度:0.0070
[C34,S2] 支持個數:25 支持度:0.0083
[C35,S1] 支持個數:58 支持度:0.0194
[C35,S2] 支持個數:54 支持度:0.0180
[C37,S1] 支持個數:64 支持度:0.0214
[C37,S2] 支持個數:80 支持度:0.0267
[C38,S1] 支持個數:36 支持度:0.0120
[C38,S2] 支持個數:40 支持度:0.0133
[C39,S1] 支持個數:34 支持度:0.0113
[C39,S2] 支持個數:59 支持度:0.0197
[C40,S1] 支持個數:34 支持度:0.0113
[C40,S2] 支持個數:51 支持度:0.0170
[C43,S1] 支持個數:73 支持度:0.0244
[C43,S2] 支持個數:89 支持度:0.0297
[C44,S1] 支持個數:6 支持度:0.0020
