最小支持度 0.0010
最小支持個數 2
[C01] 支持個數:278 支持度:0.1059
[C03] 支持個數:212 支持度:0.0807
[C05] 支持個數:200 支持度:0.0762
[C07] 支持個數:341 支持度:0.1299
[C11] 支持個數:24 支持度:0.0091
[C12] 支持個數:47 支持度:0.0179
[C22] 支持個數:26 支持度:0.0099
[C31] 支持個數:373 支持度:0.1420
[C32] 支持個數:188 支持度:0.0716
[C33] 支持個數:59 支持度:0.0225
[C34] 支持個數:83 支持度:0.0316
[C35] 支持個數:66 支持度:0.0251
[C37] 支持個數:172 支持度:0.0655
[C38] 支持個數:74 支持度:0.0282
[C39] 支持個數:102 支持度:0.0388
[C40] 支持個數:76 支持度:0.0289
[C43] 支持個數:187 支持度:0.0712
[C44] 支持個數:13 支持度:0.0050
[C45] 支持個數:50 支持度:0.0190
[C46] 支持個數:45 支持度:0.0171
[C90] 支持個數:9 支持度:0.0034
[S1] 支持個數:1553 支持度:0.5914
[S2] 支持個數:1073 支持度:0.4086
[A02] 支持個數:4 支持度:0.0015
[A03] 支持個數:12 支持度:0.0046
[A04] 支持個數:11 支持度:0.0042
[A05] 支持個數:12 支持度:0.0046
[A06] 支持個數:6 支持度:0.0023
[A07] 支持個數:21 支持度:0.0080
[A08] 支持個數:11 支持度:0.0042
[A09] 支持個數:7 支持度:0.0027
[A10] 支持個數:10 支持度:0.0038
[A11] 支持個數:13 支持度:0.0050
[A12] 支持個數:21 支持度:0.0080
[A13] 支持個數:46 支持度:0.0175
[A14] 支持個數:71 支持度:0.0270
[A15] 支持個數:97 支持度:0.0369
[A16] 支持個數:116 支持度:0.0442
[A17] 支持個數:226 支持度:0.0861
[A18] 支持個數:280 支持度:0.1066
[A19] 支持個數:221 支持度:0.0842
[A20] 支持個數:190 支持度:0.0724
[A21] 支持個數:247 支持度:0.0941
[A22] 支持個數:334 支持度:0.1272
[A23] 支持個數:362 支持度:0.1379
[A24] 支持個數:220 支持度:0.0838
[A25] 支持個數:63 支持度:0.0240
[A26] 支持個數:25 支持度:0.0095
[C01,S1] 支持個數:168 支持度:0.0640
[C01,S2] 支持個數:110 支持度:0.0419
[C03,S1] 支持個數:124 支持度:0.0472
[C03,S2] 支持個數:88 支持度:0.0335
[C05,S1] 支持個數:116 支持度:0.0442
[C05,S2] 支持個數:84 支持度:0.0320
[C07,S1] 支持個數:194 支持度:0.0739
[C07,S2] 支持個數:147 支持度:0.0560
[C11,S1] 支持個數:15 支持度:0.0057
[C11,S2] 支持個數:9 支持度:0.0034
[C12,S1] 支持個數:27 支持度:0.0103
[C12,S2] 支持個數:20 支持度:0.0076
[C22,S1] 支持個數:12 支持度:0.0046
[C22,S2] 支持個數:14 支持度:0.0053
[C31,S1] 支持個數:224 支持度:0.0853
[C31,S2] 支持個數:149 支持度:0.0567
[C32,S1] 支持個數:119 支持度:0.0453
[C32,S2] 支持個數:69 支持度:0.0263
[C33,S1] 支持個數:41 支持度:0.0156
[C33,S2] 支持個數:18 支持度:0.0069
[C34,S1] 支持個數:46 支持度:0.0175
[C34,S2] 支持個數:37 支持度:0.0141
[C35,S1] 支持個數:37 支持度:0.0141
[C35,S2] 支持個數:29 支持度:0.0110
[C37,S1] 支持個數:106 支持度:0.0404
[C37,S2] 支持個數:66 支持度:0.0251
[C38,S1] 支持個數:41 支持度:0.0156
[C38,S2] 支持個數:33 支持度:0.0126
[C39,S1] 支持個數:63 支持度:0.0240
[C39,S2] 支持個數:39 支持度:0.0149
[C40,S1] 支持個數:44 支持度:0.0168
[C40,S2] 支持個數:32 支持度:0.0122
[C43,S1] 支持個數:108 支持度:0.0411
[C43,S2] 支持個數:79 支持度:0.0301
[C44,S1] 支持個數:7 支持度:0.0027
[C44,S2] 支持個數:6 支持度:0.0023
[C45,S1] 支持個數:28 支持度:0.0107
[C45,S2] 支持個數:22 支持度:0.0084
[C46,S1] 支持個數:27 支持度:0.0103
[C46,S2] 支持個數:18 支持度:0.0069
[C90,S1] 支持個數:5 支持度:0.0019
[C90,S2] 支持個數:4 支持度:0.0015
[C01,A04] 支持個數:2 支持度:0.0008
[C01,A06] 支持個數:2 支持度:0.0008
[C01,A13] 支持個數:2 支持度:0.0008
[C01,A14] 支持個數:6 支持度:0.0023
[C01,A15] 支持個數:4 支持度:0.0015
[C01,A16] 支持個數:8 支持度:0.0030
[C01,A17] 支持個數:22 支持度:0.0084
[C01,A18] 支持個數:28 支持度:0.0107
[C01,A19] 支持個數:29 支持度:0.0110
[C01,A20] 支持個數:14 支持度:0.0053
[C01,A21] 支持個數:20 支持度:0.0076
[C01,A22] 支持個數:42 支持度:0.0160
[C01,A23] 支持個數:47 支持度:0.0179
[C01,A24] 支持個數:30 支持度:0.0114
[C01,A25] 支持個數:13 支持度:0.0050
[C01,A26] 支持個數:6 支持度:0.0023
[C03,A05] 支持個數:2 支持度:0.0008
[C03,A07] 支持個數:2 支持度:0.0008
[C03,A10] 支持個數:2 支持度:0.0008
[C03,A13] 支持個數:4 支持度:0.0015
[C03,A14] 支持個數:3 支持度:0.0011
[C03,A15] 支持個數:13 支持度:0.0050
[C03,A16] 支持個數:9 支持度:0.0034
[C03,A17] 支持個數:15 支持度:0.0057
[C03,A18] 支持個數:30 支持度:0.0114
[C03,A19] 支持個數:15 支持度:0.0057
