最小支持度 0.0010
最小支持個數 4
[C01] 支持個數:443 支持度:0.1088
[C03] 支持個數:492 支持度:0.1208
[C05] 支持個數:365 支持度:0.0896
[C07] 支持個數:448 支持度:0.1100
[C11] 支持個數:65 支持度:0.0160
[C12] 支持個數:74 支持度:0.0182
[C22] 支持個數:61 支持度:0.0150
[C31] 支持個數:461 支持度:0.1132
[C32] 支持個數:223 支持度:0.0548
[C33] 支持個數:78 支持度:0.0192
[C34] 支持個數:96 支持度:0.0236
[C35] 支持個數:174 支持度:0.0427
[C37] 支持個數:261 支持度:0.0641
[C38] 支持個數:142 支持度:0.0349
[C39] 支持個數:146 支持度:0.0358
[C40] 支持個數:133 支持度:0.0327
[C43] 支持個數:231 支持度:0.0567
[C44] 支持個數:22 支持度:0.0054
[C45] 支持個數:89 支持度:0.0219
[C46] 支持個數:53 支持度:0.0130
[C90] 支持個數:14 支持度:0.0034
[S1] 支持個數:2169 支持度:0.5325
[S2] 支持個數:1904 支持度:0.4675
[A12] 支持個數:8 支持度:0.0020
[A13] 支持個數:17 支持度:0.0042
[A14] 支持個數:17 支持度:0.0042
[A15] 支持個數:40 支持度:0.0098
[A16] 支持個數:66 支持度:0.0162
[A17] 支持個數:97 支持度:0.0238
[A18] 支持個數:163 支持度:0.0400
[A19] 支持個數:252 支持度:0.0619
[A20] 支持個數:368 支持度:0.0904
[A21] 支持個數:600 支持度:0.1473
[A22] 支持個數:817 支持度:0.2006
[A23] 支持個數:840 支持度:0.2062
[A24] 支持個數:569 支持度:0.1397
[A25] 支持個數:191 支持度:0.0469
[A26] 支持個數:26 支持度:0.0064
[C01,S1] 支持個數:249 支持度:0.0611
[C01,S2] 支持個數:194 支持度:0.0476
[C03,S1] 支持個數:265 支持度:0.0651
[C03,S2] 支持個數:227 支持度:0.0557
[C05,S1] 支持個數:190 支持度:0.0466
[C05,S2] 支持個數:175 支持度:0.0430
[C07,S1] 支持個數:235 支持度:0.0577
[C07,S2] 支持個數:213 支持度:0.0523
[C11,S1] 支持個數:28 支持度:0.0069
[C11,S2] 支持個數:37 支持度:0.0091
[C12,S1] 支持個數:45 支持度:0.0110
[C12,S2] 支持個數:29 支持度:0.0071
[C22,S1] 支持個數:38 支持度:0.0093
[C22,S2] 支持個數:23 支持度:0.0056
[C31,S1] 支持個數:249 支持度:0.0611
[C31,S2] 支持個數:212 支持度:0.0521
[C32,S1] 支持個數:121 支持度:0.0297
[C32,S2] 支持個數:102 支持度:0.0250
[C33,S1] 支持個數:42 支持度:0.0103
[C33,S2] 支持個數:36 支持度:0.0088
[C34,S1] 支持個數:55 支持度:0.0135
[C34,S2] 支持個數:41 支持度:0.0101
[C35,S1] 支持個數:97 支持度:0.0238
[C35,S2] 支持個數:77 支持度:0.0189
[C37,S1] 支持個數:131 支持度:0.0322
[C37,S2] 支持個數:130 支持度:0.0319
[C38,S1] 支持個數:78 支持度:0.0192
[C38,S2] 支持個數:64 支持度:0.0157
[C39,S1] 支持個數:68 支持度:0.0167
[C39,S2] 支持個數:78 支持度:0.0192
[C40,S1] 支持個數:64 支持度:0.0157
[C40,S2] 支持個數:69 支持度:0.0169
[C43,S1] 支持個數:121 支持度:0.0297
[C43,S2] 支持個數:110 支持度:0.0270
