最小支持度 0.0010
最小支持個數 68
[C01] 支持個數:4204 支持度:0.0611
[C03] 支持個數:7536 支持度:0.1095
[C05] 支持個數:6356 支持度:0.0923
[C07] 支持個數:8499 支持度:0.1235
[C11] 支持個數:1077 支持度:0.0156
[C12] 支持個數:986 支持度:0.0143
[C22] 支持個數:698 支持度:0.0101
[C31] 支持個數:7500 支持度:0.1089
[C32] 支持個數:5421 支持度:0.0787
[C33] 支持個數:1999 支持度:0.0290
[C34] 支持個數:1884 支持度:0.0274
[C35] 支持個數:2449 支持度:0.0356
[C37] 支持個數:4700 支持度:0.0683
[C38] 支持個數:2236 支持度:0.0325
[C39] 支持個數:3256 支持度:0.0473
[C40] 支持個數:2498 支持度:0.0363
[C43] 支持個數:3803 支持度:0.0552
[C44] 支持個數:387 支持度:0.0056
[C45] 支持個數:1730 支持度:0.0251
[C46] 支持個數:1300 支持度:0.0189
[C90] 支持個數:291 支持度:0.0042
[S1] 支持個數:48998 支持度:0.7118
[S2] 支持個數:19843 支持度:0.2882
[A02] 支持個數:436 支持度:0.0063
[A03] 支持個數:105 支持度:0.0015
[A04] 支持個數:89 支持度:0.0013
[A05] 支持個數:68 支持度:0.0010
[A07] 支持個數:245 支持度:0.0036
[A08] 支持個數:354 支持度:0.0051
[A09] 支持個數:2477 支持度:0.0360
[A10] 支持個數:2952 支持度:0.0429
[A11] 支持個數:2314 支持度:0.0336
[A12] 支持個數:2617 支持度:0.0380
[A13] 支持個數:3328 支持度:0.0483
[A14] 支持個數:3680 支持度:0.0535
[A15] 支持個數:4145 支持度:0.0602
[A16] 支持個數:4722 支持度:0.0686
[A17] 支持個數:5287 支持度:0.0768
[A18] 支持個數:5635 支持度:0.0819
[A19] 支持個數:5396 支持度:0.0784
[A20] 支持個數:5577 支持度:0.0810
[A21] 支持個數:6031 支持度:0.0876
[A22] 支持個數:5778 支持度:0.0839
[A23] 支持個數:4503 支持度:0.0654
[A24] 支持個數:2237 支持度:0.0325
[A25] 支持個數:660 支持度:0.0096
[A26] 支持個數:109 支持度:0.0016
[C01,S1] 支持個數:2807 支持度:0.0408
[C01,S2] 支持個數:1397 支持度:0.0203
[C03,S1] 支持個數:5330 支持度:0.0774
[C03,S2] 支持個數:2206 支持度:0.0320
[C05,S1] 支持個數:4452 支持度:0.0647
[C05,S2] 支持個數:1904 支持度:0.0277
[C07,S1] 支持個數:6121 支持度:0.0889
[C07,S2] 支持個數:2378 支持度:0.0345
[C11,S1] 支持個數:780 支持度:0.0113
[C11,S2] 支持個數:297 支持度:0.0043
[C12,S1] 支持個數:685 支持度:0.0100
[C12,S2] 支持個數:301 支持度:0.0044
[C22,S1] 支持個數:487 支持度:0.0071
[C22,S2] 支持個數:211 支持度:0.0031
[C31,S1] 支持個數:5351 支持度:0.0777
[C31,S2] 支持個數:2149 支持度:0.0312
[C32,S1] 支持個數:3909 支持度:0.0568
[C32,S2] 支持個數:1512 支持度:0.0220
[C33,S1] 支持個數:1421 支持度:0.0206
[C33,S2] 支持個數:578 支持度:0.0084
[C34,S1] 支持個數:1360 支持度:0.0198
[C34,S2] 支持個數:524 支持度:0.0076
[C35,S1] 支持個數:1777 支持度:0.0258
[C35,S2] 支持個數:672 支持度:0.0098
[C37,S1] 支持個數:3377 支持度:0.0491
[C37,S2] 支持個數:1323 支持度:0.0192
[C38,S1] 支持個數:1614 支持度:0.0234
[C38,S2] 支持個數:622 支持度:0.0090
[C39,S1] 支持個數:2302 支持度:0.0334
[C39,S2] 支持個數:954 支持度:0.0139
[C40,S1] 支持個數:1811 支持度:0.0263
[C40,S2] 支持個數:687 支持度:0.0100
[C43,S1] 支持個數:2734 支持度:0.0397
[C43,S2] 支持個數:1069 支持度:0.0155
[C44,S1] 支持個數:266 支持度:0.0039
[C44,S2] 支持個數:121 支持度:0.0018
[C45,S1] 支持個數:1235 支持度:0.0179
[C45,S2] 支持個數:495 支持度:0.0072
[C46,S1] 支持個數:948 支持度:0.0138
[C46,S2] 支持個數:352 支持度:0.0051
[C90,S1] 支持個數:208 支持度:0.0030
[C90,S2] 支持個數:83 支持度:0.0012
[C01,A09] 支持個數:112 支持度:0.0016
[C01,A10] 支持個數:134 支持度:0.0019
[C01,A11] 支持個數:119 支持度:0.0017
[C01,A12] 支持個數:123 支持度:0.0018
[C01,A13] 支持個數:159 支持度:0.0023
[C01,A14] 支持個數:147 支持度:0.0021
[C01,A15] 支持個數:214 支持度:0.0031
[C01,A16] 支持個數:212 支持度:0.0031
[C01,A17] 支持個數:265 支持度:0.0038
[C01,A18] 支持個數:311 支持度:0.0045
[C01,A19] 支持個數:317 支持度:0.0046
[C01,A20] 支持個數:292 支持度:0.0042
[C01,A21] 支持個數:389 支持度:0.0057
[C01,A22] 支持個數:420 支持度:0.0061
[C01,A23] 支持個數:464 支持度:0.0067
[C01,A24] 支持個數:309 支持度:0.0045
[C01,A25] 支持個數:107 支持度:0.0016
[C03,A09] 支持個數:273 支持度:0.0040
[C03,A10] 支持個數:344 支持度:0.0050
[C03,A11] 支持個數:220 支持度:0.0032
[C03,A12] 支持個數:294 支持度:0.0043
[C03,A13] 支持個數:385 支持度:0.0056
[C03,A14] 支持個數:394 支持度:0.0057
[C03,A15] 支持個數:439 支持度:0.0064
[C03,A16] 支持個數:504 支持度:0.0073
[C03,A17] 支持個數:591 支持度:0.0086
[C03,A18] 支持個數:634 支持度:0.0092
[C03,A19] 支持個數:623 支持度:0.0090
[C03,A20] 支持個數:621 支持度:0.0090
[C03,A21] 支持個數:649 支持度:0.0094
[C03,A22] 支持個數:597 支持度:0.0087
[C03,A23] 支持個數:517 支持度:0.0075
[C03,A24] 支持個數:229 支持度:0.0033
[C03,A25] 支持個數:72 支持度:0.0010
[C05,A09] 支持個數:192 支持度:0.0028
[C05,A10] 支持個數:244 支持度:0.0035
[C05,A11] 支持個數:205 支持度:0.0030
[C05,A12] 支持個數:243 支持度:0.0035
