最小支持度 0.0010
最小支持個數 62
[C01] 支持個數:5880 支持度:0.0941
[C03] 支持個數:6078 支持度:0.0973
[C05] 支持個數:5255 支持度:0.0841
[C07] 支持個數:6793 支持度:0.1087
[C11] 支持個數:1143 支持度:0.0183
[C12] 支持個數:703 支持度:0.0113
[C22] 支持個數:856 支持度:0.0137
[C31] 支持個數:7850 支持度:0.1256
[C32] 支持個數:4363 支持度:0.0698
[C33] 支持個數:1435 支持度:0.0230
[C34] 支持個數:1605 支持度:0.0257
[C35] 支持個數:2280 支持度:0.0365
[C37] 支持個數:4728 支持度:0.0757
[C38] 支持個數:2470 支持度:0.0395
[C39] 支持個數:2627 支持度:0.0420
[C40] 支持個數:2419 支持度:0.0387
[C43] 支持個數:3433 支持度:0.0549
[C44] 支持個數:216 支持度:0.0035
[C45] 支持個數:1285 支持度:0.0206
[C46] 支持個數:876 支持度:0.0140
[C90] 支持個數:179 支持度:0.0029
[S1] 支持個數:45438 支持度:0.7272
[S2] 支持個數:17046 支持度:0.2728
[A13] 支持個數:116 支持度:0.0019
[A14] 支持個數:174 支持度:0.0028
[A15] 支持個數:325 支持度:0.0052
[A16] 支持個數:577 支持度:0.0092
[A17] 支持個數:1087 支持度:0.0174
[A18] 支持個數:1942 支持度:0.0311
[A19] 支持個數:3016 支持度:0.0483
[A20] 支持個數:4750 支持度:0.0760
[A21] 支持個數:8222 支持度:0.1316
[A22] 支持個數:13214 支持度:0.2115
[A23] 支持個數:15288 支持度:0.2447
[A24] 支持個數:9966 支持度:0.1595
[A25] 支持個數:3113 支持度:0.0498
[A26] 支持個數:518 支持度:0.0083
[C01,S1] 支持個數:4266 支持度:0.0683
[C01,S2] 支持個數:1614 支持度:0.0258
[C03,S1] 支持個數:4623 支持度:0.0740
[C03,S2] 支持個數:1455 支持度:0.0233
[C05,S1] 支持個數:3599 支持度:0.0576
[C05,S2] 支持個數:1656 支持度:0.0265
[C07,S1] 支持個數:4914 支持度:0.0786
[C07,S2] 支持個數:1879 支持度:0.0301
[C11,S1] 支持個數:803 支持度:0.0129
[C11,S2] 支持個數:340 支持度:0.0054
[C12,S1] 支持個數:520 支持度:0.0083
[C12,S2] 支持個數:183 支持度:0.0029
[C22,S1] 支持個數:597 支持度:0.0096
[C22,S2] 支持個數:259 支持度:0.0041
[C31,S1] 支持個數:5859 支持度:0.0938
[C31,S2] 支持個數:1991 支持度:0.0319
[C32,S1] 支持個數:3312 支持度:0.0530
[C32,S2] 支持個數:1051 支持度:0.0168
[C33,S1] 支持個數:1059 支持度:0.0169
[C33,S2] 支持個數:376 支持度:0.0060
[C34,S1] 支持個數:1159 支持度:0.0185
[C34,S2] 支持個數:446 支持度:0.0071
[C35,S1] 支持個數:1695 支持度:0.0271
[C35,S2] 支持個數:585 支持度:0.0094
[C37,S1] 支持個數:3421 支持度:0.0548
[C37,S2] 支持個數:1307 支持度:0.0209
[C38,S1] 支持個數:1837 支持度:0.0294
[C38,S2] 支持個數:633 支持度:0.0101
[C39,S1] 支持個數:1852 支持度:0.0296
[C39,S2] 支持個數:775 支持度:0.0124
[C40,S1] 支持個數:1653 支持度:0.0265
[C40,S2] 支持個數:766 支持度:0.0123
[C43,S1] 支持個數:2376 支持度:0.0380
[C43,S2] 支持個數:1057 支持度:0.0169
[C44,S1] 支持個數:158 支持度:0.0025
[C45,S1] 支持個數:971 支持度:0.0155
[C45,S2] 支持個數:314 支持度:0.0050
[C46,S1] 支持個數:613 支持度:0.0098
[C46,S2] 支持個數:263 支持度:0.0042
[C90,S1] 支持個數:143 支持度:0.0023
[C01,A17] 支持個數:65 支持度:0.0010
[C01,A18] 支持個數:157 支持度:0.0025
[C01,A19] 支持個數:185 支持度:0.0030
[C01,A20] 支持個數:354 支持度:0.0057
[C01,A21] 支持個數:568 支持度:0.0091
[C01,A22] 支持個數:1103 支持度:0.0177
[C01,A23] 支持個數:1501 支持度:0.0240
[C01,A24] 支持個數:1281 支持度:0.0205
[C01,A25] 支持個數:488 支持度:0.0078
[C01,A26] 支持個數:92 支持度:0.0015
[C03,A17] 支持個數:114 支持度:0.0018
[C03,A18] 支持個數:190 支持度:0.0030
[C03,A19] 支持個數:324 支持度:0.0052
[C03,A20] 支持個數:468 支持度:0.0075
[C03,A21] 支持個數:777 支持度:0.0124
[C03,A22] 支持個數:1321 支持度:0.0211
[C03,A23] 支持個數:1499 支持度:0.0240
[C03,A24] 支持個數:937 支持度:0.0150
[C03,A25] 支持個數:278 支持度:0.0044
