最小支持度 0.0010
最小支持個數 175
[C01] 支持個數:18950 支持度:0.1077
[C03] 支持個數:17358 支持度:0.0987
[C05] 支持個數:14448 支持度:0.0821
[C07] 支持個數:24652 支持度:0.1401
[C11] 支持個數:3014 支持度:0.0171
[C12] 支持個數:3129 支持度:0.0178
[C22] 支持個數:1777 支持度:0.0101
[C31] 支持個數:23853 支持度:0.1356
[C32] 支持個數:13746 支持度:0.0781
[C33] 支持個數:3497 支持度:0.0199
[C34] 支持個數:3240 支持度:0.0184
[C35] 支持個數:4216 支持度:0.0240
[C37] 支持個數:10650 支持度:0.0605
[C38] 支持個數:5032 支持度:0.0286
[C39] 支持個數:7450 支持度:0.0423
[C40] 支持個數:4899 支持度:0.0278
[C43] 支持個數:8725 支持度:0.0496
[C44] 支持個數:1046 支持度:0.0059
[C45] 支持個數:3173 支持度:0.0180
[C46] 支持個數:2242 支持度:0.0127
[C90] 支持個數:769 支持度:0.0044
[S1] 支持個數:99210 支持度:0.5639
[S2] 支持個數:76717 支持度:0.4361
[A02] 支持個數:789 支持度:0.0045
[A03] 支持個數:211 支持度:0.0012
[A07] 支持個數:298 支持度:0.0017
[A08] 支持個數:360 支持度:0.0020
[A09] 支持個數:641 支持度:0.0036
[A10] 支持個數:909 支持度:0.0052
[A11] 支持個數:1205 支持度:0.0068
[A12] 支持個數:2114 支持度:0.0120
[A13] 支持個數:3359 支持度:0.0191
[A14] 支持個數:4773 支持度:0.0271
[A15] 支持個數:6051 支持度:0.0344
[A16] 支持個數:7591 支持度:0.0431
[A17] 支持個數:9188 支持度:0.0522
[A18] 支持個數:10559 支持度:0.0600
[A19] 支持個數:11115 支持度:0.0632
[A20] 支持個數:12797 支持度:0.0727
[A21] 支持個數:18289 支持度:0.1040
[A22] 支持個數:25889 支持度:0.1472
[A23] 支持個數:29202 支持度:0.1660
[A24] 支持個數:20912 支持度:0.1189
[A25] 支持個數:7606 支持度:0.0432
[A26] 支持個數:1725 支持度:0.0098
[C01,S1] 支持個數:10376 支持度:0.0590
[C01,S2] 支持個數:8574 支持度:0.0487
[C03,S1] 支持個數:10006 支持度:0.0569
[C03,S2] 支持個數:7352 支持度:0.0418
[C05,S1] 支持個數:7925 支持度:0.0450
[C05,S2] 支持個數:6523 支持度:0.0371
[C07,S1] 支持個數:14408 支持度:0.0819
[C07,S2] 支持個數:10244 支持度:0.0582
[C11,S1] 支持個數:1605 支持度:0.0091
[C11,S2] 支持個數:1409 支持度:0.0080
[C12,S1] 支持個數:1802 支持度:0.0102
[C12,S2] 支持個數:1327 支持度:0.0075
[C22,S1] 支持個數:959 支持度:0.0055
[C22,S2] 支持個數:818 支持度:0.0046
[C31,S1] 支持個數:13685 支持度:0.0778
[C31,S2] 支持個數:10168 支持度:0.0578
[C32,S1] 支持個數:8277 支持度:0.0470
[C32,S2] 支持個數:5469 支持度:0.0311
[C33,S1] 支持個數:2109 支持度:0.0120
[C33,S2] 支持個數:1388 支持度:0.0079
[C34,S1] 支持個數:1721 支持度:0.0098
[C34,S2] 支持個數:1519 支持度:0.0086
[C35,S1] 支持個數:2335 支持度:0.0133
[C35,S2] 支持個數:1881 支持度:0.0107
[C37,S1] 支持個數:5516 支持度:0.0314
[C37,S2] 支持個數:5134 支持度:0.0292
[C38,S1] 支持個數:2734 支持度:0.0155
[C38,S2] 支持個數:2298 支持度:0.0131
[C39,S1] 支持個數:3930 支持度:0.0223
[C39,S2] 支持個數:3520 支持度:0.0200
[C40,S1] 支持個數:2615 支持度:0.0149
[C40,S2] 支持個數:2284 支持度:0.0130
[C43,S1] 支持個數:4873 支持度:0.0277
[C43,S2] 支持個數:3852 支持度:0.0219
[C44,S1] 支持個數:550 支持度:0.0031
[C44,S2] 支持個數:496 支持度:0.0028
[C45,S1] 支持個數:2018 支持度:0.0115
[C45,S2] 支持個數:1155 支持度:0.0066
[C46,S1] 支持個數:1306 支持度:0.0074
[C46,S2] 支持個數:936 支持度:0.0053
[C90,S1] 支持個數:423 支持度:0.0024
[C90,S2] 支持個數:346 支持度:0.0020
[C01,A13] 支持個數:230 支持度:0.0013
[C01,A14] 支持個數:298 支持度:0.0017
[C01,A15] 支持個數:448 支持度:0.0025
[C01,A16] 支持個數:567 支持度:0.0032
[C01,A17] 支持個數:799 支持度:0.0045
[C01,A18] 支持個數:1004 支持度:0.0057
[C01,A19] 支持個數:1165 支持度:0.0066
[C01,A20] 支持個數:1313 支持度:0.0075
[C01,A21] 支持個數:1760 支持度:0.0100
[C01,A22] 支持個數:2558 支持度:0.0145
[C01,A23] 支持個數:3465 支持度:0.0197
[C01,A24] 支持個數:2993 支持度:0.0170
[C01,A25] 支持個數:1385 支持度:0.0079
[C01,A26] 支持個數:376 支持度:0.0021
[C03,A12] 支持個數:283 支持度:0.0016
[C03,A13] 支持個數:432 支持度:0.0025
