最小支持度 0.0010
最小支持個數 120
[C01] 支持個數:13304 支持度:0.1108
[C03] 支持個數:10597 支持度:0.0883
[C05] 支持個數:11498 支持度:0.0958
[C07] 支持個數:15533 支持度:0.1294
[C11] 支持個數:2357 支持度:0.0196
[C12] 支持個數:1551 支持度:0.0129
[C22] 支持個數:1268 支持度:0.0106
[C31] 支持個數:17047 支持度:0.1420
[C32] 支持個數:7227 支持度:0.0602
[C33] 支持個數:2288 支持度:0.0191
[C34] 支持個數:2438 支持度:0.0203
[C35] 支持個數:2502 支持度:0.0208
[C37] 支持個數:7582 支持度:0.0632
[C38] 支持個數:3697 支持度:0.0308
[C39] 支持個數:6180 支持度:0.0515
[C40] 支持個數:4062 支持度:0.0338
[C43] 支持個數:6257 支持度:0.0521
[C44] 支持個數:556 支持度:0.0046
[C45] 支持個數:2008 支持度:0.0167
[C46] 支持個數:1606 支持度:0.0134
[C90] 支持個數:461 支持度:0.0038
[S1] 支持個數:72557 支持度:0.6044
[S2] 支持個數:47495 支持度:0.3956
[A02] 支持個數:128 支持度:0.0011
[A12] 支持個數:231 支持度:0.0019
[A13] 支持個數:391 支持度:0.0033
[A14] 支持個數:614 支持度:0.0051
[A15] 支持個數:991 支持度:0.0083
[A16] 支持個數:1560 支持度:0.0130
[A17] 支持個數:2622 支持度:0.0218
[A18] 支持個數:4120 支持度:0.0343
[A19] 支持個數:5629 支持度:0.0469
[A20] 支持個數:7878 支持度:0.0656
[A21] 支持個數:13483 支持度:0.1123
[A22] 支持個數:22170 支持度:0.1847
[A23] 支持個數:28271 支持度:0.2355
[A24] 支持個數:21909 支持度:0.1825
[A25] 支持個數:8069 支持度:0.0672
[A26] 支持個數:1671 支持度:0.0139
[C01,S1] 支持個數:7906 支持度:0.0659
[C01,S2] 支持個數:5398 支持度:0.0450
[C03,S1] 支持個數:6572 支持度:0.0547
[C03,S2] 支持個數:4025 支持度:0.0335
[C05,S1] 支持個數:6724 支持度:0.0560
[C05,S2] 支持個數:4774 支持度:0.0398
[C07,S1] 支持個數:9649 支持度:0.0804
[C07,S2] 支持個數:5884 支持度:0.0490
[C11,S1] 支持個數:1446 支持度:0.0120
[C11,S2] 支持個數:911 支持度:0.0076
[C12,S1] 支持個數:966 支持度:0.0080
[C12,S2] 支持個數:585 支持度:0.0049
[C22,S1] 支持個數:728 支持度:0.0061
[C22,S2] 支持個數:540 支持度:0.0045
[C31,S1] 支持個數:10413 支持度:0.0867
[C31,S2] 支持個數:6634 支持度:0.0553
[C32,S1] 支持個數:4792 支持度:0.0399
[C32,S2] 支持個數:2435 支持度:0.0203
[C33,S1] 支持個數:1411 支持度:0.0118
[C33,S2] 支持個數:877 支持度:0.0073
[C34,S1] 支持個數:1453 支持度:0.0121
[C34,S2] 支持個數:985 支持度:0.0082
[C35,S1] 支持個數:1475 支持度:0.0123
[C35,S2] 支持個數:1027 支持度:0.0086
[C37,S1] 支持個數:4364 支持度:0.0364
[C37,S2] 支持個數:3218 支持度:0.0268
[C38,S1] 支持個數:2196 支持度:0.0183
[C38,S2] 支持個數:1501 支持度:0.0125
[C39,S1] 支持個數:3433 支持度:0.0286
[C39,S2] 支持個數:2747 支持度:0.0229
[C40,S1] 支持個數:2261 支持度:0.0188
[C40,S2] 支持個數:1801 支持度:0.0150
[C43,S1] 支持個數:3709 支持度:0.0309
[C43,S2] 支持個數:2548 支持度:0.0212
[C44,S1] 支持個數:325 支持度:0.0027
[C44,S2] 支持個數:231 支持度:0.0019
[C45,S1] 支持個數:1404 支持度:0.0117
[C45,S2] 支持個數:604 支持度:0.0050
[C46,S1] 支持個數:1036 支持度:0.0086
[C46,S2] 支持個數:570 支持度:0.0047
[C90,S1] 支持個數:275 支持度:0.0023
[C90,S2] 支持個數:186 支持度:0.0015
[C01,A17] 支持個數:199 支持度:0.0017
[C01,A18] 支持個數:318 支持度:0.0026
[C01,A19] 支持個數:487 支持度:0.0041
[C01,A20] 支持個數:605 支持度:0.0050
[C01,A21] 支持個數:1212 支持度:0.0101
[C01,A22] 支持個數:2157 支持度:0.0180
[C01,A23] 支持個數:3197 支持度:0.0266
[C01,A24] 支持個數:3106 支持度:0.0259
[C01,A25] 支持個數:1392 支持度:0.0116
[C01,A26] 支持個數:350 支持度:0.0029
[C03,A16] 支持個數:133 支持度:0.0011
[C03,A17] 支持個數:239 支持度:0.0020
