最小支持度 0.0010
最小支持個數 17
[C01] 支持個數:316 支持度:0.0181
[C03] 支持個數:1931 支持度:0.1103
[C05] 支持個數:2567 支持度:0.1467
[C07] 支持個數:2779 支持度:0.1588
[C11] 支持個數:22 支持度:0.0013
[C12] 支持個數:310 支持度:0.0177
[C22] 支持個數:451 支持度:0.0258
[C31] 支持個數:582 支持度:0.0333
[C32] 支持個數:1584 支持度:0.0905
[C33] 支持個數:1047 支持度:0.0598
[C34] 支持個數:419 支持度:0.0239
[C35] 支持個數:757 支持度:0.0433
[C37] 支持個數:1488 支持度:0.0850
[C38] 支持個數:436 支持度:0.0249
[C39] 支持個數:696 支持度:0.0398
[C40] 支持個數:830 支持度:0.0474
[C43] 支持個數:781 支持度:0.0446
[C44] 支持個數:192 支持度:0.0110
[C45] 支持個數:111 支持度:0.0063
[C46] 支持個數:113 支持度:0.0065
[C90] 支持個數:84 支持度:0.0048
[S1] 支持個數:7793 支持度:0.4453
[S2] 支持個數:9706 支持度:0.5547
[A17] 支持個數:24 支持度:0.0014
[A18] 支持個數:73 支持度:0.0042
[A19] 支持個數:155 支持度:0.0089
[A20] 支持個數:460 支持度:0.0263
[A21] 支持個數:1164 支持度:0.0665
[A22] 支持個數:2617 支持度:0.1496
[A23] 支持個數:4428 支持度:0.2530
[A24] 支持個數:5182 支持度:0.2961
[A25] 支持個數:2645 支持度:0.1512
[A26] 支持個數:737 支持度:0.0421
[C01,S1] 支持個數:145 支持度:0.0083
[C01,S2] 支持個數:171 支持度:0.0098
[C03,S1] 支持個數:881 支持度:0.0503
[C03,S2] 支持個數:1050 支持度:0.0600
[C05,S1] 支持個數:1157 支持度:0.0661
[C05,S2] 支持個數:1410 支持度:0.0806
[C07,S1] 支持個數:1241 支持度:0.0709
[C07,S2] 支持個數:1538 支持度:0.0879
[C12,S1] 支持個數:137 支持度:0.0078
[C12,S2] 支持個數:173 支持度:0.0099
[C22,S1] 支持個數:217 支持度:0.0124
[C22,S2] 支持個數:234 支持度:0.0134
[C31,S1] 支持個數:280 支持度:0.0160
[C31,S2] 支持個數:302 支持度:0.0173
[C32,S1] 支持個數:780 支持度:0.0446
[C32,S2] 支持個數:804 支持度:0.0459
[C33,S1] 支持個數:493 支持度:0.0282
[C33,S2] 支持個數:554 支持度:0.0317
[C34,S1] 支持個數:182 支持度:0.0104
[C34,S2] 支持個數:237 支持度:0.0135
[C35,S1] 支持個數:296 支持度:0.0169
[C35,S2] 支持個數:461 支持度:0.0263
[C37,S1] 支持個數:635 支持度:0.0363
[C37,S2] 支持個數:853 支持度:0.0487
[C38,S1] 支持個數:169 支持度:0.0097
[C38,S2] 支持個數:267 支持度:0.0153
[C39,S1] 支持個數:257 支持度:0.0147
[C39,S2] 支持個數:439 支持度:0.0251
[C40,S1] 支持個數:376 支持度:0.0215
[C40,S2] 支持個數:454 支持度:0.0259
[C43,S1] 支持個數:342 支持度:0.0195
[C43,S2] 支持個數:439 支持度:0.0251
[C44,S1] 支持個數:71 支持度:0.0041
[C44,S2] 支持個數:121 支持度:0.0069
[C45,S1] 支持個數:47 支持度:0.0027
[C45,S2] 支持個數:64 支持度:0.0037
[C46,S1] 支持個數:52 支持度:0.0030
[C46,S2] 支持個數:61 支持度:0.0035
[C90,S1] 支持個數:27 支持度:0.0015
[C90,S2] 支持個數:57 支持度:0.0033
[C01,A21] 支持個數:17 支持度:0.0010
[C01,A22] 支持個數:34 支持度:0.0019
[C01,A23] 支持個數:58 支持度:0.0033
[C01,A24] 支持個數:93 支持度:0.0053
[C01,A25] 支持個數:69 支持度:0.0039
[C01,A26] 支持個數:28 支持度:0.0016
[C03,A20] 支持個數:18 支持度:0.0010
[C03,A21] 支持個數:75 支持度:0.0043
[C03,A22] 支持個數:288 支持度:0.0165
[C03,A23] 支持個數:499 支持度:0.0285
[C03,A24] 支持個數:614 支持度:0.0351
[C03,A25] 支持個數:325 支持度:0.0186
[C03,A26] 支持個數:102 支持度:0.0058
[C05,A17] 支持個數:18 支持度:0.0010
[C05,A18] 支持個數:37 支持度:0.0021
[C05,A19] 支持個數:48 支持度:0.0027
[C05,A20] 支持個數:104 支持度:0.0059
[C05,A21] 支持個數:195 支持度:0.0111
[C05,A22] 支持個數:392 支持度:0.0224
[C05,A23] 支持個數:600 支持度:0.0343
[C05,A24] 支持個數:670 支持度:0.0383
[C05,A25] 支持個數:393 支持度:0.0225
[C05,A26] 支持個數:98 支持度:0.0056
[C07,A19] 支持個數:34 支持度:0.0019
[C07,A20] 支持個數:85 支持度:0.0049
[C07,A21] 支持個數:175 支持度:0.0100
[C07,A22] 支持個數:425 支持度:0.0243
[C07,A23] 支持個數:742 支持度:0.0424
[C07,A24] 支持個數:849 支持度:0.0485
[C07,A25] 支持個數:370 支持度:0.0211
[C07,A26] 支持個數:92 支持度:0.0053
[C12,A22] 支持個數:25 支持度:0.0014
[C12,A23] 支持個數:54 支持度:0.0031
[C12,A24] 支持個數:111 支持度:0.0063
[C12,A25] 支持個數:73 支持度:0.0042
[C12,A26] 支持個數:21 支持度:0.0012
[C22,A20] 支持個數:20 支持度:0.0011
[C22,A21] 支持個數:56 支持度:0.0032
[C22,A22] 支持個數:103 支持度:0.0059
[C22,A23] 支持個數:111 支持度:0.0063
[C22,A24] 支持個數:105 支持度:0.0060
[C22,A25] 支持個數:45 支持度:0.0026
[C31,A20] 支持個數:18 支持度:0.0010
[C31,A21] 支持個數:32 支持度:0.0018
[C31,A22] 支持個數:68 支持度:0.0039
[C31,A23] 支持個數:125 支持度:0.0071
[C31,A24] 支持個數:171 支持度:0.0098
[C31,A25] 支持個數:121 支持度:0.0069
[C31,A26] 支持個數:34 支持度:0.0019
[C32,A19] 支持個數:17 支持度:0.0010
[C32,A20] 支持個數:42 支持度:0.0024
[C32,A21] 支持個數:109 支持度:0.0062
[C32,A22] 支持個數:256 支持度:0.0146
[C32,A23] 支持個數:448 支持度:0.0256
[C32,A24] 支持個數:446 支持度:0.0255
[C32,A25] 支持個數:208 支持度:0.0119
[C32,A26] 支持個數:56 支持度:0.0032
[C33,A21] 支持個數:54 支持度:0.0031
[C33,A22] 支持個數:118 支持度:0.0067
[C33,A23] 支持個數:264 支持度:0.0151
[C33,A24] 支持個數:337 支持度:0.0193
[C33,A25] 支持個數:171 支持度:0.0098
[C33,A26] 支持個數:70 支持度:0.0040
[C34,A21] 支持個數:21 支持度:0.0012
[C34,A22] 支持個數:77 支持度:0.0044
[C34,A23] 支持個數:126 支持度:0.0072
[C34,A24] 支持個數:107 支持度:0.0061
[C34,A25] 支持個數:65 支持度:0.0037
[C34,A26] 支持個數:17 支持度:0.0010
[C35,A21] 支持個數:30 支持度:0.0017
[C35,A22] 支持個數:56 支持度:0.0032
[C35,A23] 支持個數:187 支持度:0.0107
[C35,A24] 支持個數:268 支持度:0.0153
[C35,A25] 支持個數:154 支持度:0.0088
[C35,A26] 支持個數:56 支持度:0.0032
[C37,A20] 支持個數:58 支持度:0.0033
[C37,A21] 支持個數:154 支持度:0.0088
[C37,A22] 支持個數:275 支持度:0.0157
[C37,A23] 支持個數:354 支持度:0.0202
[C37,A24] 支持個數:399 支持度:0.0228
[C37,A25] 支持個數:192 支持度:0.0110
[C37,A26] 支持個數:47 支持度:0.0027
[C38,A21] 支持個數:23 支持度:0.0013
[C38,A22] 支持個數:52 支持度:0.0030
[C38,A23] 支持個數:108 支持度:0.0062
[C38,A24] 支持個數:142 支持度:0.0081
[C38,A25] 支持個數:75 支持度:0.0043
[C38,A26] 支持個數:18 支持度:0.0010
[C39,A21] 支持個數:55 支持度:0.0031
[C39,A22] 支持個數:131 支持度:0.0075
[C39,A23] 支持個數:184 支持度:0.0105
[C39,A24] 支持個數:204 支持度:0.0117
[C39,A25] 支持個數:88 支持度:0.0050
[C40,A20] 支持個數:23 支持度:0.0013
[C40,A21] 支持個數:71 支持度:0.0041
[C40,A22] 支持個數:138 支持度:0.0079
[C40,A23] 支持個數:226 支持度:0.0129
[C40,A24] 支持個數:229 支持度:0.0131
[C40,A25] 支持個數:107 支持度:0.0061
[C40,A26] 支持個數:27 支持度:0.0015
