最小支持度 0.0010
最小支持個數 1
[C01] 支持個數:195 支持度:0.1495
[C03] 支持個數:141 支持度:0.1081
[C05] 支持個數:114 支持度:0.0874
[C07] 支持個數:125 支持度:0.0959
[C11] 支持個數:28 支持度:0.0215
[C12] 支持個數:26 支持度:0.0199
[C22] 支持個數:13 支持度:0.0100
[C31] 支持個數:231 支持度:0.1771
[C32] 支持個數:117 支持度:0.0897
[C33] 支持個數:25 支持度:0.0192
[C34] 支持個數:21 支持度:0.0161
[C35] 支持個數:30 支持度:0.0230
[C37] 支持個數:75 支持度:0.0575
[C38] 支持個數:26 支持度:0.0199
[C39] 支持個數:23 支持度:0.0176
[C40] 支持個數:31 支持度:0.0238
[C43] 支持個數:46 支持度:0.0353
[C44] 支持個數:7 支持度:0.0054
[C45] 支持個數:17 支持度:0.0130
[C46] 支持個數:8 支持度:0.0061
[C90] 支持個數:5 支持度:0.0038
[S1] 支持個數:764 支持度:0.5859
[S2] 支持個數:540 支持度:0.4141
[A02] 支持個數:15 支持度:0.0115
[A03] 支持個數:2 支持度:0.0015
[A05] 支持個數:1 支持度:0.0008
[A06] 支持個數:2 支持度:0.0015
[A07] 支持個數:3 支持度:0.0023
[A08] 支持個數:2 支持度:0.0015
[A09] 支持個數:8 支持度:0.0061
[A10] 支持個數:2 支持度:0.0015
[A11] 支持個數:8 支持度:0.0061
[A12] 支持個數:11 支持度:0.0084
[A13] 支持個數:23 支持度:0.0176
[A14] 支持個數:37 支持度:0.0284
[A15] 支持個數:59 支持度:0.0452
[A16] 支持個數:115 支持度:0.0882
[A17] 支持個數:172 支持度:0.1319
[A18] 支持個數:255 支持度:0.1956
[A19] 支持個數:228 支持度:0.1748
[A20] 支持個數:158 支持度:0.1212
[A21] 支持個數:113 支持度:0.0867
[A22] 支持個數:63 支持度:0.0483
[A23] 支持個數:18 支持度:0.0138
[A24] 支持個數:7 支持度:0.0054
[A25] 支持個數:2 支持度:0.0015
[C01,S1] 支持個數:121 支持度:0.0928
[C01,S2] 支持個數:74 支持度:0.0567
[C03,S1] 支持個數:73 支持度:0.0560
[C03,S2] 支持個數:68 支持度:0.0521
[C05,S1] 支持個數:68 支持度:0.0521
[C05,S2] 支持個數:46 支持度:0.0353
[C07,S1] 支持個數:76 支持度:0.0583
[C07,S2] 支持個數:49 支持度:0.0376
[C11,S1] 支持個數:15 支持度:0.0115
[C11,S2] 支持個數:13 支持度:0.0100
[C12,S1] 支持個數:14 支持度:0.0107
[C12,S2] 支持個數:12 支持度:0.0092
[C22,S1] 支持個數:8 支持度:0.0061
[C22,S2] 支持個數:5 支持度:0.0038
[C31,S1] 支持個數:137 支持度:0.1051
[C31,S2] 支持個數:94 支持度:0.0721
[C32,S1] 支持個數:68 支持度:0.0521
[C32,S2] 支持個數:49 支持度:0.0376
[C33,S1] 支持個數:18 支持度:0.0138
[C33,S2] 支持個數:7 支持度:0.0054
[C34,S1] 支持個數:12 支持度:0.0092
[C34,S2] 支持個數:9 支持度:0.0069
[C35,S1] 支持個數:20 支持度:0.0153
[C35,S2] 支持個數:10 支持度:0.0077
[C37,S1] 支持個數:30 支持度:0.0230
[C37,S2] 支持個數:45 支持度:0.0345
[C38,S1] 支持個數:16 支持度:0.0123
[C38,S2] 支持個數:10 支持度:0.0077
[C39,S1] 支持個數:14 支持度:0.0107
[C39,S2] 支持個數:9 支持度:0.0069
[C40,S1] 支持個數:21 支持度:0.0161
[C40,S2] 支持個數:10 支持度:0.0077
[C43,S1] 支持個數:32 支持度:0.0245
[C43,S2] 支持個數:14 支持度:0.0107
[C44,S1] 支持個數:3 支持度:0.0023
