最小支持度 0.0010
最小支持個數 6
[C01] 支持個數:1121 支持度:0.1774
[C03] 支持個數:701 支持度:0.1109
[C05] 支持個數:324 支持度:0.0513
[C07] 支持個數:646 支持度:0.1022
[C11] 支持個數:92 支持度:0.0146
[C12] 支持個數:100 支持度:0.0158
[C22] 支持個數:71 支持度:0.0112
[C31] 支持個數:1004 支持度:0.1589
[C32] 支持個數:412 支持度:0.0652
[C33] 支持個數:135 支持度:0.0214
[C34] 支持個數:103 支持度:0.0163
[C35] 支持個數:226 支持度:0.0358
[C37] 支持個數:379 支持度:0.0600
[C38] 支持個數:137 支持度:0.0217
[C39] 支持個數:255 支持度:0.0404
[C40] 支持個數:207 支持度:0.0328
[C43] 支持個數:185 支持度:0.0293
[C44] 支持個數:40 支持度:0.0063
[C45] 支持個數:89 支持度:0.0141
[C46] 支持個數:55 支持度:0.0087
[C90] 支持個數:32 支持度:0.0051
[S1] 支持個數:3646 支持度:0.5770
[S2] 支持個數:2673 支持度:0.4230
[A02] 支持個數:8 支持度:0.0013
[A10] 支持個數:6 支持度:0.0009
[A12] 支持個數:9 支持度:0.0014
[A13] 支持個數:22 支持度:0.0035
[A14] 支持個數:31 支持度:0.0049
[A15] 支持個數:50 支持度:0.0079
[A16] 支持個數:96 支持度:0.0152
[A17] 支持個數:130 支持度:0.0206
[A18] 支持個數:224 支持度:0.0354
[A19] 支持個數:309 支持度:0.0489
[A20] 支持個數:438 支持度:0.0693
[A21] 支持個數:729 支持度:0.1154
[A22] 支持個數:1127 支持度:0.1784
[A23] 支持個數:1512 支持度:0.2393
[A24] 支持個數:1083 支持度:0.1714
[A25] 支持個數:434 支持度:0.0687
[A26] 支持個數:92 支持度:0.0146
[C01,S1] 支持個數:636 支持度:0.1006
[C01,S2] 支持個數:485 支持度:0.0768
[C03,S1] 支持個數:409 支持度:0.0647
[C03,S2] 支持個數:292 支持度:0.0462
[C05,S1] 支持個數:188 支持度:0.0298
[C05,S2] 支持個數:136 支持度:0.0215
[C07,S1] 支持個數:356 支持度:0.0563
[C07,S2] 支持個數:290 支持度:0.0459
[C11,S1] 支持個數:49 支持度:0.0078
[C11,S2] 支持個數:43 支持度:0.0068
[C12,S1] 支持個數:55 支持度:0.0087
[C12,S2] 支持個數:45 支持度:0.0071
[C22,S1] 支持個數:46 支持度:0.0073
[C22,S2] 支持個數:25 支持度:0.0040
[C31,S1] 支持個數:602 支持度:0.0953
[C31,S2] 支持個數:402 支持度:0.0636
[C32,S1] 支持個數:268 支持度:0.0424
[C32,S2] 支持個數:144 支持度:0.0228
[C33,S1] 支持個數:78 支持度:0.0123
[C33,S2] 支持個數:57 支持度:0.0090
[C34,S1] 支持個數:53 支持度:0.0084
[C34,S2] 支持個數:50 支持度:0.0079
[C35,S1] 支持個數:121 支持度:0.0191
[C35,S2] 支持個數:105 支持度:0.0166
[C37,S1] 支持個數:200 支持度:0.0317
[C37,S2] 支持個數:179 支持度:0.0283
[C38,S1] 支持個數:79 支持度:0.0125
[C38,S2] 支持個數:58 支持度:0.0092
[C39,S1] 支持個數:150 支持度:0.0237
[C39,S2] 支持個數:105 支持度:0.0166
[C40,S1] 支持個數:119 支持度:0.0188
[C40,S2] 支持個數:88 支持度:0.0139
[C43,S1] 支持個數:106 支持度:0.0168
[C43,S2] 支持個數:79 支持度:0.0125
[C44,S1] 支持個數:22 支持度:0.0035
[C44,S2] 支持個數:18 支持度:0.0028
[C45,S1] 支持個數:55 支持度:0.0087
[C45,S2] 支持個數:34 支持度:0.0054
[C46,S1] 支持個數:35 支持度:0.0055
[C46,S2] 支持個數:20 支持度:0.0032
