最小支持度 0.0010
最小支持個數 17
[C01] 支持個數:2539 支持度:0.1420
[C03] 支持個數:1634 支持度:0.0914
[C05] 支持個數:1954 支持度:0.1093
[C07] 支持個數:1400 支持度:0.0783
[C11] 支持個數:223 支持度:0.0125
[C12] 支持個數:274 支持度:0.0153
[C22] 支持個數:307 支持度:0.0172
[C31] 支持個數:2436 支持度:0.1362
[C32] 支持個數:1454 支持度:0.0813
[C33] 支持個數:419 支持度:0.0234
[C34] 支持個數:464 支持度:0.0259
[C35] 支持個數:566 支持度:0.0317
[C37] 支持個數:867 支持度:0.0485
[C38] 支持個數:469 支持度:0.0262
[C39] 支持個數:594 支持度:0.0332
[C40] 支持個數:621 支持度:0.0347
[C43] 支持個數:801 支持度:0.0448
[C44] 支持個數:116 支持度:0.0065
[C45] 支持個數:516 支持度:0.0289
[C46] 支持個數:126 支持度:0.0070
[C90] 支持個數:96 支持度:0.0054
[S1] 支持個數:7916 支持度:0.4427
[S2] 支持個數:9966 支持度:0.5573
[A16] 支持個數:24 支持度:0.0013
[A17] 支持個數:55 支持度:0.0031
[A18] 支持個數:155 支持度:0.0087
[A19] 支持個數:298 支持度:0.0167
[A20] 支持個數:625 支持度:0.0350
[A21] 支持個數:1513 支持度:0.0846
[A22] 支持個數:3173 支持度:0.1774
[A23] 支持個數:5043 支持度:0.2820
[A24] 支持個數:4650 支持度:0.2600
[A25] 支持個數:1946 支持度:0.1088
[A26] 支持個數:389 支持度:0.0218
[C01,S1] 支持個數:1137 支持度:0.0636
[C01,S2] 支持個數:1402 支持度:0.0784
[C03,S1] 支持個數:735 支持度:0.0411
[C03,S2] 支持個數:899 支持度:0.0503
[C05,S1] 支持個數:749 支持度:0.0419
[C05,S2] 支持個數:1205 支持度:0.0674
[C07,S1] 支持個數:688 支持度:0.0385
[C07,S2] 支持個數:712 支持度:0.0398
[C11,S1] 支持個數:101 支持度:0.0056
[C11,S2] 支持個數:122 支持度:0.0068
[C12,S1] 支持個數:132 支持度:0.0074
[C12,S2] 支持個數:142 支持度:0.0079
[C22,S1] 支持個數:126 支持度:0.0070
[C22,S2] 支持個數:181 支持度:0.0101
[C31,S1] 支持個數:1112 支持度:0.0622
[C31,S2] 支持個數:1324 支持度:0.0740
[C32,S1] 支持個數:774 支持度:0.0433
[C32,S2] 支持個數:680 支持度:0.0380
[C33,S1] 支持個數:175 支持度:0.0098
[C33,S2] 支持個數:244 支持度:0.0136
[C34,S1] 支持個數:194 支持度:0.0108
[C34,S2] 支持個數:270 支持度:0.0151
[C35,S1] 支持個數:249 支持度:0.0139
[C35,S2] 支持個數:317 支持度:0.0177
[C37,S1] 支持個數:314 支持度:0.0176
[C37,S2] 支持個數:553 支持度:0.0309
[C38,S1] 支持個數:204 支持度:0.0114
[C38,S2] 支持個數:265 支持度:0.0148
[C39,S1] 支持個數:220 支持度:0.0123
[C39,S2] 支持個數:374 支持度:0.0209
[C40,S1] 支持個數:238 支持度:0.0133
[C40,S2] 支持個數:383 支持度:0.0214
[C43,S1] 支持個數:383 支持度:0.0214
[C43,S2] 支持個數:418 支持度:0.0234
[C44,S1] 支持個數:48 支持度:0.0027
[C44,S2] 支持個數:68 支持度:0.0038
[C45,S1] 支持個數:232 支持度:0.0130
[C45,S2] 支持個數:284 支持度:0.0159
[C46,S1] 支持個數:54 支持度:0.0030
[C46,S2] 支持個數:72 支持度:0.0040
[C90,S1] 支持個數:48 支持度:0.0027
[C90,S2] 支持個數:48 支持度:0.0027
[C01,A19] 支持個數:24 支持度:0.0013
[C01,A20] 支持個數:41 支持度:0.0023
[C01,A21] 支持個數:150 支持度:0.0084
[C01,A22] 支持個數:359 支持度:0.0201
[C01,A23] 支持個數:696 支持度:0.0389
[C01,A24] 支持個數:783 支持度:0.0438
[C01,A25] 支持個數:371 支持度:0.0207
[C01,A26] 支持個數:100 支持度:0.0056
[C03,A18] 支持個數:18 支持度:0.0010
[C03,A19] 支持個數:34 支持度:0.0019
[C03,A20] 支持個數:65 支持度:0.0036
[C03,A21] 支持個數:137 支持度:0.0077
[C03,A22] 支持個數:296 支持度:0.0166
[C03,A23] 支持個數:468 支持度:0.0262
[C03,A24] 支持個數:397 支持度:0.0222
[C03,A25] 支持個數:180 支持度:0.0101
[C03,A26] 支持個數:27 支持度:0.0015
[C05,A18] 支持個數:24 支持度:0.0013
[C05,A19] 支持個數:35 支持度:0.0020
[C05,A20] 支持個數:56 支持度:0.0031
[C05,A21] 支持個數:165 支持度:0.0092
[C05,A22] 支持個數:363 支持度:0.0203
[C05,A23] 支持個數:582 支持度:0.0325
[C05,A24] 支持個數:513 支持度:0.0287
[C05,A25] 支持個數:177 支持度:0.0099
[C05,A26] 支持個數:34 支持度:0.0019
[C07,A19] 支持個數:39 支持度:0.0022
[C07,A20] 支持個數:76 支持度:0.0043
[C07,A21] 支持個數:169 支持度:0.0095
[C07,A22] 支持個數:259 支持度:0.0145
[C07,A23] 支持個數:378 支持度:0.0211
[C07,A24] 支持個數:321 支持度:0.0180
[C07,A25] 支持個數:109 支持度:0.0061
[C07,A26] 支持個數:19 支持度:0.0011
[C11,A21] 支持個數:17 支持度:0.0010
[C11,A22] 支持個數:36 支持度:0.0020
[C11,A23] 支持個數:73 支持度:0.0041
[C11,A24] 支持個數:55 支持度:0.0031
[C11,A25] 支持個數:23 支持度:0.0013
[C12,A21] 支持個數:17 支持度:0.0010
[C12,A22] 支持個數:42 支持度:0.0023
[C12,A23] 支持個數:76 支持度:0.0043
[C12,A24] 支持個數:86 支持度:0.0048
[C12,A25] 支持個數:34 支持度:0.0019
[C22,A21] 支持個數:29 支持度:0.0016
[C22,A22] 支持個數:69 支持度:0.0039
[C22,A23] 支持個數:80 支持度:0.0045
[C22,A24] 支持個數:72 支持度:0.0040
[C22,A25] 支持個數:27 支持度:0.0015
[C31,A18] 支持個數:27 支持度:0.0015
[C31,A19] 支持個數:37 支持度:0.0021
[C31,A20] 支持個數:104 支持度:0.0058
[C31,A21] 支持個數:213 支持度:0.0119
[C31,A22] 支持個數:400 支持度:0.0224
[C31,A23] 支持個數:655 支持度:0.0366
[C31,A24] 支持個數:630 支持度:0.0352
[C31,A25] 支持個數:288 支持度:0.0161
[C31,A26] 支持個數:66 支持度:0.0037
[C32,A18] 支持個數:17 支持度:0.0010
[C32,A19] 支持個數:33 支持度:0.0018
[C32,A20] 支持個數:49 支持度:0.0027
[C32,A21] 支持個數:121 支持度:0.0068
[C32,A22] 支持個數:237 支持度:0.0133
[C32,A23] 支持個數:396 支持度:0.0221
[C32,A24] 支持個數:390 支持度:0.0218
[C32,A25] 支持個數:175 支持度:0.0098
[C32,A26] 支持個數:31 支持度:0.0017
[C33,A20] 支持個數:26 支持度:0.0015
[C33,A21] 支持個數:56 支持度:0.0031
[C33,A22] 支持個數:77 支持度:0.0043
[C33,A23] 支持個數:112 支持度:0.0063
[C33,A24] 支持個數:96 支持度:0.0054
[C33,A25] 支持個數:35 支持度:0.0020
[C34,A21] 支持個數:39 支持度:0.0022
[C34,A22] 支持個數:81 支持度:0.0045
[C34,A23] 支持個數:133 支持度:0.0074
[C34,A24] 支持個數:121 支持度:0.0068
[C34,A25] 支持個數:57 支持度:0.0032
[C35,A20] 支持個數:21 支持度:0.0012
[C35,A21] 支持個數:34 支持度:0.0019
[C35,A22] 支持個數:111 支持度:0.0062
[C35,A23] 支持個數:156 支持度:0.0087
[C35,A24] 支持個數:150 支持度:0.0084
[C35,A25] 支持個數:66 支持度:0.0037
[C35,A26] 支持個數:18 支持度:0.0010
[C37,A19] 支持個數:17 支持度:0.0010
[C37,A20] 支持個數:29 支持度:0.0016
[C37,A21] 支持個數:67 支持度:0.0037
[C37,A22] 支持個數:157 支持度:0.0088
[C37,A23] 支持個數:248 支持度:0.0139
[C37,A24] 支持個數:226 支持度:0.0126
[C37,A25] 支持個數:97 支持度:0.0054
[C38,A21] 支持個數:36 支持度:0.0020
[C38,A22] 支持個數:103 支持度:0.0058
[C38,A23] 支持個數:135 支持度:0.0075
[C38,A24] 支持個數:124 支持度:0.0069
[C38,A25] 支持個數:43 支持度:0.0024
[C39,A20] 支持個數:23 支持度:0.0013
[C39,A21] 支持個數:57 支持度:0.0032
[C39,A22] 支持個數:131 支持度:0.0073
[C39,A23] 支持個數:177 支持度:0.0099
[C39,A24] 支持個數:131 支持度:0.0073
[C39,A25] 支持個數:54 支持度:0.0030
[C40,A20] 支持個數:19 支持度:0.0011
[C40,A21] 支持個數:50 支持度:0.0028
[C40,A22] 支持個數:123 支持度:0.0069
[C40,A23] 支持個數:191 支持度:0.0107
[C40,A24] 支持個數:161 支持度:0.0090
[C40,A25] 支持個數:56 支持度:0.0031
[C43,A19] 支持個數:23 支持度:0.0013
[C43,A20] 支持個數:32 支持度:0.0018
[C43,A21] 支持個數:80 支持度:0.0045
[C43,A22] 支持個數:177 支持度:0.0099
[C43,A23] 支持個數:239 支持度:0.0134
[C43,A24] 支持個數:171 支持度:0.0096
[C43,A25] 支持個數:60 支持度:0.0034
[C44,A22] 支持個數:19 支持度:0.0011
[C44,A23] 支持個數:34 支持度:0.0019
[C44,A24] 支持個數:27 支持度:0.0015
[C45,A21] 支持個數:43 支持度:0.0024
[C45,A22] 支持個數:97 支持度:0.0054
[C45,A23] 支持個數:144 支持度:0.0081
[C45,A24] 支持個數:131 支持度:0.0073
[C45,A25] 支持個數:61 支持度:0.0034
[C46,A22] 支持個數:23 支持度:0.0013
[C46,A23] 支持個數:39 支持度:0.0022
[C46,A24] 支持個數:33 支持度:0.0018
[C90,A23] 支持個數:30 支持度:0.0017
[C90,A24] 支持個數:28 支持度:0.0016
[S1,A16] 支持個數:17 支持度:0.0010
[S1,A17] 支持個數:38 支持度:0.0021
[S1,A18] 支持個數:95 支持度:0.0053
[S1,A19] 支持個數:184 支持度:0.0103
[S1,A20] 支持個數:346 支持度:0.0193
[S1,A21] 支持個數:780 支持度:0.0436
[S1,A22] 支持個數:1429 支持度:0.0799
[S1,A23] 支持個數:2227 支持度:0.1245
[S1,A24] 支持個數:1952 支持度:0.1092
[S1,A25] 支持個數:713 支持度:0.0399
[S1,A26] 支持個數:127 支持度:0.0071
[S2,A17] 支持個數:17 支持度:0.0010
[S2,A18] 支持個數:60 支持度:0.0034
[S2,A19] 支持個數:114 支持度:0.0064
[S2,A20] 支持個數:279 支持度:0.0156
[S2,A21] 支持個數:733 支持度:0.0410
[S2,A22] 支持個數:1744 支持度:0.0975
[S2,A23] 支持個數:2816 支持度:0.1575
[S2,A24] 支持個數:2698 支持度:0.1509
[S2,A25] 支持個數:1233 支持度:0.0690
[S2,A26] 支持個數:262 支持度:0.0147
[C01, S1, A20], 支持個數為21 支持度:0.0012
[C01, S1, A21], 支持個數為79 支持度:0.0044
[C01, S1, A22], 支持個數為170 支持度:0.0095
[C01, S1, A23], 支持個數為315 支持度:0.0176
[C01, S1, A24], 支持個數為334 支持度:0.0187
[C01, S1, A25], 支持個數為159 支持度:0.0089
[C01, S1, A26], 支持個數為35 支持度:0.0020
[C01, S2, A20], 支持個數為20 支持度:0.0011
[C01, S2, A21], 支持個數為71 支持度:0.0040
[C01, S2, A22], 支持個數為189 支持度:0.0106
[C01, S2, A23], 支持個數為381 支持度:0.0213
[C01, S2, A24], 支持個數為449 支持度:0.0251
[C01, S2, A25], 支持個數為212 支持度:0.0119
[C01, S2, A26], 支持個數為65 支持度:0.0036
[C03, S1, A19], 支持個數為23 支持度:0.0013
[C03, S1, A20], 支持個數為36 支持度:0.0020
[C03, S1, A21], 支持個數為67 支持度:0.0037
[C03, S1, A22], 支持個數為139 支持度:0.0078
[C03, S1, A23], 支持個數為209 支持度:0.0117
[C03, S1, A24], 支持個數為168 支持度:0.0094
[C03, S1, A25], 支持個數為64 支持度:0.0036
[C03, S2, A20], 支持個數為29 支持度:0.0016
[C03, S2, A21], 支持個數為70 支持度:0.0039
[C03, S2, A22], 支持個數為157 支持度:0.0088
[C03, S2, A23], 支持個數為259 支持度:0.0145
[C03, S2, A24], 支持個數為229 支持度:0.0128
[C03, S2, A25], 支持個數為116 支持度:0.0065
[C03, S2, A26], 支持個數為17 支持度:0.0010
[C05, S1, A19], 支持個數為20 支持度:0.0011
[C05, S1, A20], 支持個數為37 支持度:0.0021
[C05, S1, A21], 支持個數為81 支持度:0.0045
[C05, S1, A22], 支持個數為144 支持度:0.0081
[C05, S1, A23], 支持個數為230 支持度:0.0129
[C05, S1, A24], 支持個數為173 支持度:0.0097
