最小支持度 0.0010
最小支持個數 8
[C01] 支持個數:962 支持度:0.1157
[C03] 支持個數:926 支持度:0.1113
[C05] 支持個數:866 支持度:0.1041
[C07] 支持個數:1132 支持度:0.1361
[C11] 支持個數:107 支持度:0.0129
[C12] 支持個數:124 支持度:0.0149
[C22] 支持個數:93 支持度:0.0112
[C31] 支持個數:1120 支持度:0.1347
[C32] 支持個數:478 支持度:0.0575
[C33] 支持個數:149 支持度:0.0179
[C34] 支持個數:163 支持度:0.0196
[C35] 支持個數:218 支持度:0.0262
[C37] 支持個數:500 支持度:0.0601
[C38] 支持個數:226 支持度:0.0272
[C39] 支持個數:295 支持度:0.0355
[C40] 支持個數:261 支持度:0.0314
[C43] 支持個數:410 支持度:0.0493
[C44] 支持個數:44 支持度:0.0053
[C45] 支持個數:123 支持度:0.0148
[C46] 支持個數:86 支持度:0.0103
[C90] 支持個數:34 支持度:0.0041
[S1] 支持個數:5571 支持度:0.6698
[S2] 支持個數:2746 支持度:0.3302
[A10] 支持個數:8 支持度:0.0010
[A11] 支持個數:25 支持度:0.0030
[A12] 支持個數:53 支持度:0.0064
[A13] 支持個數:114 支持度:0.0137
[A14] 支持個數:206 支持度:0.0248
[A15] 支持個數:287 支持度:0.0345
[A16] 支持個數:445 支持度:0.0535
[A17] 支持個數:609 支持度:0.0732
[A18] 支持個數:744 支持度:0.0895
[A19] 支持個數:851 支持度:0.1023
[A20] 支持個數:868 支持度:0.1044
[A21] 支持個數:1120 支持度:0.1347
[A22] 支持個數:1297 支持度:0.1559
[A23] 支持個數:1048 支持度:0.1260
[A24] 支持個數:515 支持度:0.0619
[A25] 支持個數:107 支持度:0.0129
[A26] 支持個數:14 支持度:0.0017
[C01,S1] 支持個數:623 支持度:0.0749
[C01,S2] 支持個數:339 支持度:0.0408
[C03,S1] 支持個數:647 支持度:0.0778
[C03,S2] 支持個數:279 支持度:0.0335
[C05,S1] 支持個數:569 支持度:0.0684
[C05,S2] 支持個數:297 支持度:0.0357
[C07,S1] 支持個數:768 支持度:0.0923
[C07,S2] 支持個數:364 支持度:0.0438
[C11,S1] 支持個數:76 支持度:0.0091
[C11,S2] 支持個數:31 支持度:0.0037
[C12,S1] 支持個數:78 支持度:0.0094
[C12,S2] 支持個數:46 支持度:0.0055
[C22,S1] 支持個數:51 支持度:0.0061
[C22,S2] 支持個數:42 支持度:0.0050
[C31,S1] 支持個數:785 支持度:0.0944
[C31,S2] 支持個數:335 支持度:0.0403
[C32,S1] 支持個數:335 支持度:0.0403
[C32,S2] 支持個數:143 支持度:0.0172
[C33,S1] 支持個數:97 支持度:0.0117
[C33,S2] 支持個數:52 支持度:0.0063
[C34,S1] 支持個數:104 支持度:0.0125
[C34,S2] 支持個數:59 支持度:0.0071
[C35,S1] 支持個數:144 支持度:0.0173
[C35,S2] 支持個數:74 支持度:0.0089
[C37,S1] 支持個數:333 支持度:0.0400
[C37,S2] 支持個數:167 支持度:0.0201
[C38,S1] 支持個數:148 支持度:0.0178
[C38,S2] 支持個數:78 支持度:0.0094
[C39,S1] 支持個數:199 支持度:0.0239
[C39,S2] 支持個數:96 支持度:0.0115
[C40,S1] 支持個數:167 支持度:0.0201
[C40,S2] 支持個數:94 支持度:0.0113
[C43,S1] 支持個數:267 支持度:0.0321
[C43,S2] 支持個數:143 支持度:0.0172
[C44,S1] 支持個數:28 支持度:0.0034
[C44,S2] 支持個數:16 支持度:0.0019
[C45,S1] 支持個數:77 支持度:0.0093
[C45,S2] 支持個數:46 支持度:0.0055
[C46,S1] 支持個數:50 支持度:0.0060
[C46,S2] 支持個數:36 支持度:0.0043
[C90,S1] 支持個數:25 支持度:0.0030
[C90,S2] 支持個數:9 支持度:0.0011
[C01,A13] 支持個數:20 支持度:0.0024
[C01,A14] 支持個數:19 支持度:0.0023
[C01,A15] 支持個數:31 支持度:0.0037
[C01,A16] 支持個數:43 支持度:0.0052
[C01,A17] 支持個數:64 支持度:0.0077
[C01,A18] 支持個數:83 支持度:0.0100
[C01,A19] 支持個數:114 支持度:0.0137
[C01,A20] 支持個數:72 支持度:0.0087
[C01,A21] 支持個數:107 支持度:0.0129
[C01,A22] 支持個數:145 支持度:0.0174
[C01,A23] 支持個數:155 支持度:0.0186
[C01,A24] 支持個數:85 支持度:0.0102
[C01,A25] 支持個數:17 支持度:0.0020
[C03,A13] 支持個數:20 支持度:0.0024
[C03,A14] 支持個數:20 支持度:0.0024
[C03,A15] 支持個數:38 支持度:0.0046
[C03,A16] 支持個數:48 支持度:0.0058
[C03,A17] 支持個數:58 支持度:0.0070
[C03,A18] 支持個數:98 支持度:0.0118
[C03,A19] 支持個數:90 支持度:0.0108
[C03,A20] 支持個數:99 支持度:0.0119
[C03,A21] 支持個數:115 支持度:0.0138
