最小支持度 0.0010
最小支持個數 32
[C01] 支持個數:4176 支持度:0.1290
[C03] 支持個數:2803 支持度:0.0866
[C05] 支持個數:2232 支持度:0.0690
[C07] 支持個數:4254 支持度:0.1314
[C11] 支持個數:675 支持度:0.0209
[C12] 支持個數:533 支持度:0.0165
[C22] 支持個數:392 支持度:0.0121
[C31] 支持個數:4344 支持度:0.1342
[C32] 支持個數:2430 支持度:0.0751
[C33] 支持個數:637 支持度:0.0197
[C34] 支持個數:691 支持度:0.0213
[C35] 支持個數:951 支持度:0.0294
[C37] 支持個數:1843 支持度:0.0569
[C38] 支持個數:871 支持度:0.0269
[C39] 支持個數:1193 支持度:0.0369
[C40] 支持個數:1136 支持度:0.0351
[C43] 支持個數:1583 支持度:0.0489
[C44] 支持個數:208 支持度:0.0064
[C45] 支持個數:644 支持度:0.0199
[C46] 支持個數:646 支持度:0.0200
[C90] 支持個數:117 支持度:0.0036
[S1] 支持個數:18718 支持度:0.5783
[S2] 支持個數:13651 支持度:0.4217
[A02] 支持個數:71 支持度:0.0022
[A11] 支持個數:47 支持度:0.0015
[A12] 支持個數:111 支持度:0.0034
[A13] 支持個數:226 支持度:0.0070
[A14] 支持個數:381 支持度:0.0118
[A15] 支持個數:597 支持度:0.0184
[A16] 支持個數:834 支持度:0.0258
[A17] 支持個數:1295 支持度:0.0400
[A18] 支持個數:1676 支持度:0.0518
[A19] 支持個數:2053 支持度:0.0634
[A20] 支持個數:2677 支持度:0.0827
[A21] 支持個數:4089 支持度:0.1263
[A22] 支持個數:5867 支持度:0.1813
[A23] 支持個數:6624 支持度:0.2046
[A24] 支持個數:4186 支持度:0.1293
[A25] 支持個數:1330 支持度:0.0411
[A26] 支持個數:197 支持度:0.0061
[C01,S1] 支持個數:2382 支持度:0.0736
[C01,S2] 支持個數:1794 支持度:0.0554
[C03,S1] 支持個數:1628 支持度:0.0503
[C03,S2] 支持個數:1175 支持度:0.0363
[C05,S1] 支持個數:1231 支持度:0.0380
[C05,S2] 支持個數:1001 支持度:0.0309
[C07,S1] 支持個數:2518 支持度:0.0778
[C07,S2] 支持個數:1736 支持度:0.0536
[C11,S1] 支持個數:376 支持度:0.0116
[C11,S2] 支持個數:299 支持度:0.0092
[C12,S1] 支持個數:297 支持度:0.0092
[C12,S2] 支持個數:236 支持度:0.0073
[C22,S1] 支持個數:214 支持度:0.0066
[C22,S2] 支持個數:178 支持度:0.0055
[C31,S1] 支持個數:2562 支持度:0.0791
[C31,S2] 支持個數:1782 支持度:0.0551
[C32,S1] 支持個數:1487 支持度:0.0459
[C32,S2] 支持個數:943 支持度:0.0291
[C33,S1] 支持個數:384 支持度:0.0119
[C33,S2] 支持個數:253 支持度:0.0078
[C34,S1] 支持個數:427 支持度:0.0132
[C34,S2] 支持個數:264 支持度:0.0082
[C35,S1] 支持個數:562 支持度:0.0174
[C35,S2] 支持個數:389 支持度:0.0120
[C37,S1] 支持個數:1004 支持度:0.0310
[C37,S2] 支持個數:839 支持度:0.0259
[C38,S1] 支持個數:477 支持度:0.0147
[C38,S2] 支持個數:394 支持度:0.0122
[C39,S1] 支持個數:623 支持度:0.0192
[C39,S2] 支持個數:570 支持度:0.0176
[C40,S1] 支持個數:600 支持度:0.0185
[C40,S2] 支持個數:536 支持度:0.0166
[C43,S1] 支持個數:919 支持度:0.0284
[C43,S2] 支持個數:664 支持度:0.0205
[C44,S1] 支持個數:121 支持度:0.0037
[C44,S2] 支持個數:87 支持度:0.0027
[C45,S1] 支持個數:427 支持度:0.0132
[C45,S2] 支持個數:217 支持度:0.0067
[C46,S1] 支持個數:407 支持度:0.0126
[C46,S2] 支持個數:239 支持度:0.0074
[C90,S1] 支持個數:66 支持度:0.0020
[C90,S2] 支持個數:51 支持度:0.0016
[C01,A15] 支持個數:46 支持度:0.0014
[C01,A16] 支持個數:64 支持度:0.0020
[C01,A17] 支持個數:102 支持度:0.0032
[C01,A18] 支持個數:145 支持度:0.0045
[C01,A19] 支持個數:194 支持度:0.0060
[C01,A20] 支持個數:272 支持度:0.0084
[C01,A21] 支持個數:450 支持度:0.0139
[C01,A22] 支持個數:726 支持度:0.0224
[C01,A23] 支持個數:978 支持度:0.0302
[C01,A24] 支持個數:769 支持度:0.0238
[C01,A25] 支持個數:308 支持度:0.0095
[C01,A26] 支持個數:55 支持度:0.0017
[C03,A14] 支持個數:32 支持度:0.0010
[C03,A15] 支持個數:50 支持度:0.0015
[C03,A16] 支持個數:82 支持度:0.0025
[C03,A17] 支持個數:125 支持度:0.0039
[C03,A18] 支持個數:144 支持度:0.0044
[C03,A19] 支持個數:191 支持度:0.0059
[C03,A20] 支持個數:226 支持度:0.0070
[C03,A21] 支持個數:363 支持度:0.0112
[C03,A22] 支持個數:539 支持度:0.0167
[C03,A23] 支持個數:583 支持度:0.0180
[C03,A24] 支持個數:302 支持度:0.0093
[C03,A25] 支持個數:100 支持度:0.0031
[C05,A16] 支持個數:39 支持度:0.0012
[C05,A17] 支持個數:75 支持度:0.0023
[C05,A18] 支持個數:122 支持度:0.0038
[C05,A19] 支持個數:137 支持度:0.0042
[C05,A20] 支持個數:172 支持度:0.0053
[C05,A21] 支持個數:278 支持度:0.0086
[C05,A22] 支持個數:444 支持度:0.0137
[C05,A23] 支持個數:486 支持度:0.0150
[C05,A24] 支持個數:310 支持度:0.0096
[C05,A25] 支持個數:90 支持度:0.0028
[C07,A13] 支持個數:45 支持度:0.0014
[C07,A14] 支持個數:62 支持度:0.0019
[C07,A15] 支持個數:80 支持度:0.0025
[C07,A16] 支持個數:119 支持度:0.0037
[C07,A17] 支持個數:211 支持度:0.0065
[C07,A18] 支持個數:247 支持度:0.0076
