最小支持度 0.0010
最小支持個數 1
[C33, S1, A24], 支持個數為4 支持度:0.0025
[C33, S2, A20], 支持個數為1 支持度:0.0006
[C34, S1, A16], 支持個數為2 支持度:0.0013
[C34, S1, A19], 支持個數為1 支持度:0.0006
[C34, S1, A20], 支持個數為3 支持度:0.0019
[C34, S1, A21], 支持個數為3 支持度:0.0019
[C34, S1, A22], 支持個數為8 支持度:0.0051
[C34, S1, A23], 支持個數為2 支持度:0.0013
[C34, S1, A24], 支持個數為2 支持度:0.0013
[C35, S1, A16], 支持個數為1 支持度:0.0006
[C35, S1, A17], 支持個數為1 支持度:0.0006
[C35, S1, A18], 支持個數為3 支持度:0.0019
[C35, S1, A19], 支持個數為3 支持度:0.0019
[C35, S1, A20], 支持個數為20 支持度:0.0127
[C35, S1, A21], 支持個數為39 支持度:0.0247
[C35, S1, A22], 支持個數為38 支持度:0.0241
[C35, S1, A23], 支持個數為29 支持度:0.0184
[C35, S1, A24], 支持個數為7 支持度:0.0044
[C35, S1, A25], 支持個數為2 支持度:0.0013
[C35, S2, A18], 支持個數為1 支持度:0.0006
[C35, S2, A23], 支持個數為1 支持度:0.0006
[C37, S1, A16], 支持個數為1 支持度:0.0006
[C37, S1, A17], 支持個數為3 支持度:0.0019
[C37, S1, A18], 支持個數為1 支持度:0.0006
[C37, S1, A19], 支持個數為2 支持度:0.0013
[C37, S1, A21], 支持個數為3 支持度:0.0019
[C37, S2, A17], 支持個數為1 支持度:0.0006
[C37, S2, A22], 支持個數為1 支持度:0.0006
[C37, S2, A23], 支持個數為1 支持度:0.0006
[C38, S1, A15], 支持個數為1 支持度:0.0006
[C38, S1, A17], 支持個數為1 支持度:0.0006
[C38, S1, A18], 支持個數為4 支持度:0.0025
[C38, S1, A19], 支持個數為5 支持度:0.0032
[C38, S1, A20], 支持個數為2 支持度:0.0013
[C38, S1, A21], 支持個數為6 支持度:0.0038
[C38, S1, A22], 支持個數為3 支持度:0.0019
[C38, S1, A23], 支持個數為3 支持度:0.0019
[C38, S2, A18], 支持個數為1 支持度:0.0006
[C39, S1, A15], 支持個數為1 支持度:0.0006
[C39, S1, A16], 支持個數為1 支持度:0.0006
[C39, S1, A18], 支持個數為1 支持度:0.0006
[C39, S1, A20], 支持個數為1 支持度:0.0006
[C39, S1, A21], 支持個數為2 支持度:0.0013
[C39, S1, A22], 支持個數為3 支持度:0.0019
[C39, S1, A23], 支持個數為1 支持度:0.0006
[C40, S1, A14], 支持個數為1 支持度:0.0006
[C40, S1, A15], 支持個數為1 支持度:0.0006
[C40, S1, A19], 支持個數為1 支持度:0.0006
[C40, S1, A20], 支持個數為1 支持度:0.0006
[C40, S1, A21], 支持個數為3 支持度:0.0019
[C40, S1, A23], 支持個數為4 支持度:0.0025
[C40, S2, A24], 支持個數為1 支持度:0.0006
[C43, S1, A16], 支持個數為2 支持度:0.0013
[C43, S1, A17], 支持個數為1 支持度:0.0006
[C43, S1, A18], 支持個數為2 支持度:0.0013
[C43, S1, A19], 支持個數為1 支持度:0.0006
[C43, S1, A20], 支持個數為4 支持度:0.0025
[C43, S1, A21], 支持個數為2 支持度:0.0013
[C43, S1, A24], 支持個數為1 支持度:0.0006
[C43, S2, A23], 支持個數為1 支持度:0.0006
[C44, S1, A19], 支持個數為1 支持度:0.0006
[C45, S1, A15], 支持個數為1 支持度:0.0006
[C45, S1, A17], 支持個數為2 支持度:0.0013
[C45, S1, A19], 支持個數為4 支持度:0.0025
[C45, S1, A20], 支持個數為1 支持度:0.0006
[C45, S1, A21], 支持個數為3 支持度:0.0019
[C45, S1, A22], 支持個數為2 支持度:0.0013
[C45, S1, A24], 支持個數為1 支持度:0.0006
[C45, S2, A19], 支持個數為1 支持度:0.0006
[C45, S2, A20], 支持個數為1 支持度:0.0006
[C46, S1, A16], 支持個數為1 支持度:0.0006
[C46, S1, A22], 支持個數為1 支持度:0.0006
[C46, S1, A23], 支持個數為2 支持度:0.0013
