最小支持度 0.0010
最小支持個數 1
[C01] 支持個數:103 支持度:0.0653
[C03] 支持個數:68 支持度:0.0431
[C05] 支持個數:22 支持度:0.0139
[C07] 支持個數:46 支持度:0.0292
[C11] 支持個數:105 支持度:0.0665
[C12] 支持個數:12 支持度:0.0076
[C31] 支持個數:752 支持度:0.4766
[C32] 支持個數:150 支持度:0.0951
[C33] 支持個數:58 支持度:0.0368
[C34] 支持個數:21 支持度:0.0133
[C35] 支持個數:145 支持度:0.0919
[C37] 支持個數:13 支持度:0.0082
[C38] 支持個數:26 支持度:0.0165
[C39] 支持個數:10 支持度:0.0063
[C40] 支持個數:12 支持度:0.0076
[C43] 支持個數:14 支持度:0.0089
[C44] 支持個數:1 支持度:0.0006
[C45] 支持個數:16 支持度:0.0101
[C46] 支持個數:4 支持度:0.0025
[S1] 支持個數:1513 支持度:0.9588
[S2] 支持個數:65 支持度:0.0412
[A12] 支持個數:1 支持度:0.0006
[A14] 支持個數:3 支持度:0.0019
[A15] 支持個數:13 支持度:0.0082
[A16] 支持個數:22 支持度:0.0139
[A17] 支持個數:37 支持度:0.0234
[A18] 支持個數:59 支持度:0.0374
[A19] 支持個數:84 支持度:0.0532
[A20] 支持個數:174 支持度:0.1103
[A21] 支持個數:314 支持度:0.1990
[A22] 支持個數:445 支持度:0.2820
[A23] 支持個數:283 支持度:0.1793
[A24] 支持個數:111 支持度:0.0703
[A25] 支持個數:25 支持度:0.0158
[A26] 支持個數:7 支持度:0.0044
[C01,S1] 支持個數:101 支持度:0.0640
[C01,S2] 支持個數:2 支持度:0.0013
[C03,S1] 支持個數:68 支持度:0.0431
[C05,S1] 支持個數:20 支持度:0.0127
[C05,S2] 支持個數:2 支持度:0.0013
[C07,S1] 支持個數:45 支持度:0.0285
[C07,S2] 支持個數:1 支持度:0.0006
[C11,S1] 支持個數:103 支持度:0.0653
[C11,S2] 支持個數:2 支持度:0.0013
[C12,S1] 支持個數:12 支持度:0.0076
[C31,S1] 支持個數:711 支持度:0.4506
[C31,S2] 支持個數:41 支持度:0.0260
[C32,S1] 支持個數:144 支持度:0.0913
[C32,S2] 支持個數:6 支持度:0.0038
[C33,S1] 支持個數:57 支持度:0.0361
[C33,S2] 支持個數:1 支持度:0.0006
[C34,S1] 支持個數:21 支持度:0.0133
[C35,S1] 支持個數:143 支持度:0.0906
[C35,S2] 支持個數:2 支持度:0.0013
[C37,S1] 支持個數:10 支持度:0.0063
[C37,S2] 支持個數:3 支持度:0.0019
[C38,S1] 支持個數:25 支持度:0.0158
[C38,S2] 支持個數:1 支持度:0.0006
[C39,S1] 支持個數:10 支持度:0.0063
[C40,S1] 支持個數:11 支持度:0.0070
[C40,S2] 支持個數:1 支持度:0.0006
[C43,S1] 支持個數:13 支持度:0.0082
[C43,S2] 支持個數:1 支持度:0.0006
[C44,S1] 支持個數:1 支持度:0.0006
[C45,S1] 支持個數:14 支持度:0.0089
[C45,S2] 支持個數:2 支持度:0.0013
[C46,S1] 支持個數:4 支持度:0.0025
[C01,A12] 支持個數:1 支持度:0.0006
[C01,A16] 支持個數:1 支持度:0.0006
[C01,A19] 支持個數:3 支持度:0.0019
[C01,A20] 支持個數:12 支持度:0.0076
[C01,A21] 支持個數:18 支持度:0.0114
[C01,A22] 支持個數:29 支持度:0.0184
[C01,A23] 支持個數:23 支持度:0.0146
[C01,A24] 支持個數:11 支持度:0.0070
[C01,A25] 支持個數:4 支持度:0.0025
[C01,A26] 支持個數:1 支持度:0.0006
[C03,A14] 支持個數:1 支持度:0.0006
[C03,A15] 支持個數:3 支持度:0.0019
[C03,A16] 支持個數:7 支持度:0.0044
[C03,A17] 支持個數:7 支持度:0.0044
[C03,A18] 支持個數:12 支持度:0.0076
[C03,A19] 支持個數:7 支持度:0.0044
[C03,A20] 支持個數:9 支持度:0.0057
[C03,A21] 支持個數:12 支持度:0.0076
[C03,A22] 支持個數:6 支持度:0.0038
[C03,A23] 支持個數:4 支持度:0.0025
[C05,A15] 支持個數:2 支持度:0.0013
[C05,A16] 支持個數:1 支持度:0.0006
[C05,A17] 支持個數:5 支持度:0.0032
[C05,A19] 支持個數:3 支持度:0.0019
[C05,A20] 支持個數:4 支持度:0.0025
[C05,A21] 支持個數:1 支持度:0.0006
[C05,A22] 支持個數:6 支持度:0.0038
[C07,A16] 支持個數:4 支持度:0.0025
[C07,A17] 支持個數:6 支持度:0.0038
[C07,A18] 支持個數:5 支持度:0.0032
[C07,A19] 支持個數:10 支持度:0.0063
[C07,A20] 支持個數:7 支持度:0.0044
[C07,A21] 支持個數:6 支持度:0.0038
[C07,A22] 支持個數:5 支持度:0.0032
[C07,A23] 支持個數:3 支持度:0.0019
[C11,A19] 支持個數:1 支持度:0.0006
[C11,A20] 支持個數:8 支持度:0.0051
[C11,A21] 支持個數:27 支持度:0.0171
[C11,A22] 支持個數:33 支持度:0.0209
[C11,A23] 支持個數:27 支持度:0.0171
[C11,A24] 支持個數:5 支持度:0.0032
[C11,A25] 支持個數:4 支持度:0.0025
[C12,A18] 支持個數:2 支持度:0.0013
[C12,A20] 支持個數:1 支持度:0.0006
[C12,A21] 支持個數:3 支持度:0.0019
[C12,A22] 支持個數:1 支持度:0.0006
[C12,A23] 支持個數:2 支持度:0.0013
[C12,A24] 支持個數:2 支持度:0.0013
[C12,A25] 支持個數:1 支持度:0.0006
[C31,A14] 支持個數:1 支持度:0.0006
[C31,A15] 支持個數:2 支持度:0.0013
[C31,A16] 支持個數:1 支持度:0.0006
[C31,A17] 支持個數:7 支持度:0.0044
[C31,A18] 支持個數:17 支持度:0.0108
[C31,A19] 支持個數:25 支持度:0.0158
[C31,A20] 支持個數:73 支持度:0.0463
[C31,A21] 支持個數:150 支持度:0.0951
[C31,A22] 支持個數:247 支持度:0.1565
[C31,A23] 支持個數:146 支持度:0.0925
[C31,A24] 支持個數:66 支持度:0.0418
[C31,A25] 支持個數:13 支持度:0.0082
[C31,A26] 支持個數:4 支持度:0.0025
[C32,A15] 支持個數:2 支持度:0.0013
[C32,A17] 支持個數:3 支持度:0.0019
[C32,A18] 支持個數:7 支持度:0.0044
[C32,A19] 支持個數:11 支持度:0.0070
[C32,A20] 支持個數:23 支持度:0.0146
[C32,A21] 支持個數:22 支持度:0.0139
[C32,A22] 支持個數:45 支持度:0.0285
[C32,A23] 支持個數:23 支持度:0.0146
[C32,A24] 支持個數:11 支持度:0.0070
[C32,A25] 支持個數:1 支持度:0.0006
[C32,A26] 支持個數:2 支持度:0.0013
[C33,A18] 支持個數:3 支持度:0.0019
[C33,A19] 支持個數:5 支持度:0.0032
[C33,A20] 支持個數:4 支持度:0.0025
[C33,A21] 支持個數:14 支持度:0.0089
[C33,A22] 支持個數:17 支持度:0.0108
[C33,A23] 支持個數:11 支持度:0.0070
[C33,A24] 支持個數:4 支持度:0.0025
[C34,A16] 支持個數:2 支持度:0.0013
[C34,A19] 支持個數:1 支持度:0.0006
[C34,A20] 支持個數:3 支持度:0.0019
[C34,A21] 支持個數:3 支持度:0.0019
[C34,A22] 支持個數:8 支持度:0.0051
[C34,A23] 支持個數:2 支持度:0.0013
[C34,A24] 支持個數:2 支持度:0.0013
[C35,A16] 支持個數:1 支持度:0.0006
[C35,A17] 支持個數:1 支持度:0.0006
[C35,A18] 支持個數:4 支持度:0.0025
[C35,A19] 支持個數:3 支持度:0.0019
[C35,A20] 支持個數:20 支持度:0.0127
[C35,A21] 支持個數:39 支持度:0.0247
[C35,A22] 支持個數:38 支持度:0.0241
[C35,A23] 支持個數:30 支持度:0.0190
[C35,A24] 支持個數:7 支持度:0.0044
[C35,A25] 支持個數:2 支持度:0.0013
[C37,A16] 支持個數:1 支持度:0.0006
[C37,A17] 支持個數:4 支持度:0.0025
[C37,A18] 支持個數:1 支持度:0.0006
[C37,A19] 支持個數:2 支持度:0.0013
[C37,A21] 支持個數:3 支持度:0.0019
[C37,A22] 支持個數:1 支持度:0.0006
[C37,A23] 支持個數:1 支持度:0.0006
[C38,A15] 支持個數:1 支持度:0.0006
[C38,A17] 支持個數:1 支持度:0.0006
[C38,A18] 支持個數:5 支持度:0.0032
[C38,A19] 支持個數:5 支持度:0.0032
[C38,A20] 支持個數:2 支持度:0.0013
[C38,A21] 支持個數:6 支持度:0.0038
[C38,A22] 支持個數:3 支持度:0.0019
[C38,A23] 支持個數:3 支持度:0.0019
[C39,A15] 支持個數:1 支持度:0.0006
[C39,A16] 支持個數:1 支持度:0.0006
[C39,A18] 支持個數:1 支持度:0.0006
[C39,A20] 支持個數:1 支持度:0.0006
[C39,A21] 支持個數:2 支持度:0.0013
[C39,A22] 支持個數:3 支持度:0.0019
[C39,A23] 支持個數:1 支持度:0.0006
[C40,A14] 支持個數:1 支持度:0.0006
[C40,A15] 支持個數:1 支持度:0.0006
[C40,A19] 支持個數:1 支持度:0.0006
[C40,A20] 支持個數:1 支持度:0.0006
[C40,A21] 支持個數:3 支持度:0.0019
[C40,A23] 支持個數:4 支持度:0.0025
[C40,A24] 支持個數:1 支持度:0.0006
[C43,A16] 支持個數:2 支持度:0.0013
[C43,A17] 支持個數:1 支持度:0.0006
[C43,A18] 支持個數:2 支持度:0.0013
[C43,A19] 支持個數:1 支持度:0.0006
[C43,A20] 支持個數:4 支持度:0.0025
[C43,A21] 支持個數:2 支持度:0.0013
[C43,A23] 支持個數:1 支持度:0.0006
[C43,A24] 支持個數:1 支持度:0.0006
[C44,A19] 支持個數:1 支持度:0.0006
[C45,A15] 支持個數:1 支持度:0.0006
[C45,A17] 支持個數:2 支持度:0.0013
[C45,A19] 支持個數:5 支持度:0.0032
[C45,A20] 支持個數:2 支持度:0.0013
[C45,A21] 支持個數:3 支持度:0.0019
[C45,A22] 支持個數:2 支持度:0.0013
[C45,A24] 支持個數:1 支持度:0.0006
[C46,A16] 支持個數:1 支持度:0.0006
[C46,A22] 支持個數:1 支持度:0.0006
[C46,A23] 支持個數:2 支持度:0.0013
[S1,A12] 支持個數:1 支持度:0.0006
[S1,A14] 支持個數:3 支持度:0.0019
[S1,A15] 支持個數:13 支持度:0.0082
[S1,A16] 支持個數:22 支持度:0.0139
[S1,A17] 支持個數:36 支持度:0.0228
[S1,A18] 支持個數:55 支持度:0.0349
[S1,A19] 支持個數:81 支持度:0.0513
[S1,A20] 支持個數:166 支持度:0.1052
[S1,A21] 支持個數:307 支持度:0.1946
[S1,A22] 支持個數:423 支持度:0.2681
[S1,A23] 支持個數:271 支持度:0.1717
[S1,A24] 支持個數:104 支持度:0.0659
[S1,A25] 支持個數:24 支持度:0.0152
[S1,A26] 支持個數:7 支持度:0.0044
[S2,A17] 支持個數:1 支持度:0.0006
[S2,A18] 支持個數:4 支持度:0.0025
[S2,A19] 支持個數:3 支持度:0.0019
[S2,A20] 支持個數:8 支持度:0.0051
[S2,A21] 支持個數:7 支持度:0.0044
[S2,A22] 支持個數:22 支持度:0.0139
[S2,A23] 支持個數:12 支持度:0.0076
[S2,A24] 支持個數:7 支持度:0.0044
[S2,A25] 支持個數:1 支持度:0.0006
[C01, S1, A12], 支持個數為1 支持度:0.0006
[C01, S1, A16], 支持個數為1 支持度:0.0006
[C01, S1, A19], 支持個數為3 支持度:0.0019
[C01, S1, A20], 支持個數為11 支持度:0.0070
[C01, S1, A21], 支持個數為18 支持度:0.0114
[C01, S1, A22], 支持個數為28 支持度:0.0177
[C01, S1, A23], 支持個數為23 支持度:0.0146
[C01, S1, A24], 支持個數為11 支持度:0.0070
[C01, S1, A25], 支持個數為4 支持度:0.0025
[C01, S1, A26], 支持個數為1 支持度:0.0006
[C01, S2, A20], 支持個數為1 支持度:0.0006
[C01, S2, A22], 支持個數為1 支持度:0.0006
[C03, S1, A14], 支持個數為1 支持度:0.0006
[C03, S1, A15], 支持個數為3 支持度:0.0019
[C03, S1, A16], 支持個數為7 支持度:0.0044
[C03, S1, A17], 支持個數為7 支持度:0.0044
[C03, S1, A18], 支持個數為12 支持度:0.0076
[C03, S1, A19], 支持個數為7 支持度:0.0044
[C03, S1, A20], 支持個數為9 支持度:0.0057
[C03, S1, A21], 支持個數為12 支持度:0.0076
[C03, S1, A22], 支持個數為6 支持度:0.0038
[C03, S1, A23], 支持個數為4 支持度:0.0025
[C05, S1, A15], 支持個數為2 支持度:0.0013
[C05, S1, A16], 支持個數為1 支持度:0.0006
[C05, S1, A17], 支持個數為5 支持度:0.0032
[C05, S1, A19], 支持個數為3 支持度:0.0019
[C05, S1, A20], 支持個數為4 支持度:0.0025
[C05, S1, A21], 支持個數為1 支持度:0.0006
[C05, S1, A22], 支持個數為4 支持度:0.0025
[C05, S2, A22], 支持個數為2 支持度:0.0013
[C07, S1, A16], 支持個數為4 支持度:0.0025
[C07, S1, A17], 支持個數為6 支持度:0.0038
[C07, S1, A18], 支持個數為4 支持度:0.0025
[C07, S1, A19], 支持個數為10 支持度:0.0063
[C07, S1, A20], 支持個數為7 支持度:0.0044
[C07, S1, A21], 支持個數為6 支持度:0.0038
[C07, S1, A22], 支持個數為5 支持度:0.0032
[C07, S1, A23], 支持個數為3 支持度:0.0019
[C07, S2, A18], 支持個數為1 支持度:0.0006
[C11, S1, A19], 支持個數為1 支持度:0.0006
[C11, S1, A20], 支持個數為8 支持度:0.0051
[C11, S1, A21], 支持個數為27 支持度:0.0171
[C11, S1, A22], 支持個數為33 支持度:0.0209
[C11, S1, A23], 支持個數為25 支持度:0.0158
[C11, S1, A24], 支持個數為5 支持度:0.0032
[C11, S1, A25], 支持個數為4 支持度:0.0025
[C11, S2, A23], 支持個數為2 支持度:0.0013
[C12, S1, A18], 支持個數為2 支持度:0.0013
[C12, S1, A20], 支持個數為1 支持度:0.0006
[C12, S1, A21], 支持個數為3 支持度:0.0019
[C12, S1, A22], 支持個數為1 支持度:0.0006
[C12, S1, A23], 支持個數為2 支持度:0.0013
[C12, S1, A24], 支持個數為2 支持度:0.0013
[C12, S1, A25], 支持個數為1 支持度:0.0006
[C31, S1, A14], 支持個數為1 支持度:0.0006
[C31, S1, A15], 支持個數為2 支持度:0.0013
[C31, S1, A16], 支持個數為1 支持度:0.0006
[C31, S1, A17], 支持個數為7 支持度:0.0044
[C31, S1, A18], 支持個數為16 支持度:0.0101
[C31, S1, A19], 支持個數為23 支持度:0.0146
[C31, S1, A20], 支持個數為70 支持度:0.0444
[C31, S1, A21], 支持個數為143 支持度:0.0906
[C31, S1, A22], 支持個數為232 支持度:0.1470
[C31, S1, A23], 支持個數為140 支持度:0.0887
[C31, S1, A24], 支持個數為60 支持度:0.0380
[C31, S1, A25], 支持個數為12 支持度:0.0076
[C31, S1, A26], 支持個數為4 支持度:0.0025
[C31, S2, A18], 支持個數為1 支持度:0.0006
[C31, S2, A19], 支持個數為2 支持度:0.0013
[C31, S2, A20], 支持個數為3 支持度:0.0019
[C31, S2, A21], 支持個數為7 支持度:0.0044
[C31, S2, A22], 支持個數為15 支持度:0.0095
[C31, S2, A23], 支持個數為6 支持度:0.0038
[C31, S2, A24], 支持個數為6 支持度:0.0038
[C31, S2, A25], 支持個數為1 支持度:0.0006
[C32, S1, A15], 支持個數為2 支持度:0.0013
[C32, S1, A17], 支持個數為3 支持度:0.0019
[C32, S1, A18], 支持個數為7 支持度:0.0044
[C32, S1, A19], 支持個數為11 支持度:0.0070
[C32, S1, A20], 支持個數為21 支持度:0.0133
[C32, S1, A21], 支持個數為22 支持度:0.0139
[C32, S1, A22], 支持個數為42 支持度:0.0266
[C32, S1, A23], 支持個數為22 支持度:0.0139
[C32, S1, A24], 支持個數為11 支持度:0.0070
[C32, S1, A25], 支持個數為1 支持度:0.0006
[C32, S1, A26], 支持個數為2 支持度:0.0013
[C32, S2, A20], 支持個數為2 支持度:0.0013
[C32, S2, A22], 支持個數為3 支持度:0.0019
[C32, S2, A23], 支持個數為1 支持度:0.0006
[C33, S1, A18], 支持個數為3 支持度:0.0019
[C33, S1, A19], 支持個數為5 支持度:0.0032
[C33, S1, A20], 支持個數為3 支持度:0.0019
[C33, S1, A21], 支持個數為14 支持度:0.0089
[C33, S1, A22], 支持個數為17 支持度:0.0108
[C33, S1, A23], 支持個數為11 支持度:0.0070
