最小支持度 0.0010
最小支持個數 5
[C01] 支持個數:468 支持度:0.0870
[C03] 支持個數:557 支持度:0.1035
[C05] 支持個數:430 支持度:0.0799
[C07] 支持個數:665 支持度:0.1236
[C11] 支持個數:57 支持度:0.0106
[C12] 支持個數:91 支持度:0.0169
[C22] 支持個數:44 支持度:0.0082
[C31] 支持個數:747 支持度:0.1388
[C32] 支持個數:436 支持度:0.0810
[C33] 支持個數:127 支持度:0.0236
[C34] 支持個數:104 支持度:0.0193
[C35] 支持個數:232 支持度:0.0431
[C37] 支持個數:289 支持度:0.0537
[C38] 支持個數:172 支持度:0.0320
[C39] 支持個數:196 支持度:0.0364
[C40] 支持個數:138 支持度:0.0256
[C43] 支持個數:371 支持度:0.0689
[C44] 支持個數:35 支持度:0.0065
[C45] 支持個數:106 支持度:0.0197
[C46] 支持個數:107 支持度:0.0199
[C90] 支持個數:10 支持度:0.0019
[S1] 支持個數:3310 支持度:0.6150
[S2] 支持個數:2072 支持度:0.3850
[A11] 支持個數:13 支持度:0.0024
[A12] 支持個數:27 支持度:0.0050
[A13] 支持個數:40 支持度:0.0074
[A14] 支持個數:75 支持度:0.0139
[A15] 支持個數:142 支持度:0.0264
[A16] 支持個數:225 支持度:0.0418
[A17] 支持個數:270 支持度:0.0502
[A18] 支持個數:359 支持度:0.0667
[A19] 支持個數:406 支持度:0.0754
[A20] 支持個數:480 支持度:0.0892
[A21] 支持個數:754 支持度:0.1401
[A22] 支持個數:931 支持度:0.1730
[A23] 支持個數:934 支持度:0.1735
[A24] 支持個數:541 支持度:0.1005
[A25] 支持個數:153 支持度:0.0284
[A26] 支持個數:23 支持度:0.0043
[C01,S1] 支持個數:262 支持度:0.0487
[C01,S2] 支持個數:206 支持度:0.0383
[C03,S1] 支持個數:369 支持度:0.0686
[C03,S2] 支持個數:188 支持度:0.0349
[C05,S1] 支持個數:247 支持度:0.0459
[C05,S2] 支持個數:183 支持度:0.0340
[C07,S1] 支持個數:420 支持度:0.0780
[C07,S2] 支持個數:245 支持度:0.0455
[C11,S1] 支持個數:40 支持度:0.0074
[C11,S2] 支持個數:17 支持度:0.0032
[C12,S1] 支持個數:50 支持度:0.0093
[C12,S2] 支持個數:41 支持度:0.0076
[C22,S1] 支持個數:31 支持度:0.0058
[C22,S2] 支持個數:13 支持度:0.0024
[C31,S1] 支持個數:459 支持度:0.0853
[C31,S2] 支持個數:288 支持度:0.0535
[C32,S1] 支持個數:266 支持度:0.0494
[C32,S2] 支持個數:170 支持度:0.0316
[C33,S1] 支持個數:80 支持度:0.0149
[C33,S2] 支持個數:47 支持度:0.0087
[C34,S1] 支持個數:70 支持度:0.0130
[C34,S2] 支持個數:34 支持度:0.0063
[C35,S1] 支持個數:143 支持度:0.0266
[C35,S2] 支持個數:89 支持度:0.0165
[C37,S1] 支持個數:174 支持度:0.0323
[C37,S2] 支持個數:115 支持度:0.0214
[C38,S1] 支持個數:111 支持度:0.0206
[C38,S2] 支持個數:61 支持度:0.0113
[C39,S1] 支持個數:123 支持度:0.0229
[C39,S2] 支持個數:73 支持度:0.0136
[C40,S1] 支持個數:78 支持度:0.0145
[C40,S2] 支持個數:60 支持度:0.0111
[C43,S1] 支持個數:222 支持度:0.0412
[C43,S2] 支持個數:149 支持度:0.0277
[C44,S1] 支持個數:19 支持度:0.0035
[C44,S2] 支持個數:16 支持度:0.0030
[C45,S1] 支持個數:71 支持度:0.0132
[C45,S2] 支持個數:35 支持度:0.0065
[C46,S1] 支持個數:69 支持度:0.0128
[C46,S2] 支持個數:38 支持度:0.0071
[C90,S1] 支持個數:6 支持度:0.0011
[C01,A15] 支持個數:9 支持度:0.0017
[C01,A16] 支持個數:11 支持度:0.0020
[C01,A17] 支持個數:20 支持度:0.0037
[C01,A18] 支持個數:24 支持度:0.0045
[C01,A19] 支持個數:38 支持度:0.0071
[C01,A20] 支持個數:40 支持度:0.0074
[C01,A21] 支持個數:51 支持度:0.0095
[C01,A22] 支持個數:77 支持度:0.0143
[C01,A23] 支持個數:99 支持度:0.0184
[C01,A24] 支持個數:57 支持度:0.0106
[C01,A25] 支持個數:25 支持度:0.0046
[C03,A13] 支持個數:11 支持度:0.0020
[C03,A14] 支持個數:10 支持度:0.0019
[C03,A15] 支持個數:22 支持度:0.0041
[C03,A16] 支持個數:29 支持度:0.0054
[C03,A17] 支持個數:33 支持度:0.0061
[C03,A18] 支持個數:45 支持度:0.0084
[C03,A19] 支持個數:41 支持度:0.0076
